datetime, temp, humidity, pressure, pitch, roll, yaw, accel_x, accel_y, accel_z,
17:43:48, 55.35728, 31.09605, 29.58101, 357.1642, 12.84319, 133.26072, 0.04243, 0.21803, 0.93433,
17:43:49, 55.50366, 31.5621, 29.58096, 357.18639, 12.87116, 133.21458, 0.04364, 0.21754, 0.93287,
17:43:50, 55.55855, 28.9733, 29.58018, 357.1981, 12.87401, 133.1322, 0.04364, 0.21851, 0.93458,
17:43:50, 55.48536, 31.37696, 29.58023, 357.21582, 12.82425, 133.05972, 0.04243, 0.21851, 0.93336,
17:43:51, 55.48536, 31.58445, 29.58079, 357.23003, 12.78853, 133.1495, 0.04291, 0.21876, 0.93336,
17:43:52, 55.50366, 30.45444, 29.58027, 357.23028, 12.83678, 133.23522, 0.04364, 0.21827, 0.87463,
17:43:53, 55.44877, 28.94457, 29.58047, 357.25795, 12.96074, 133.18336, 0.04267, 0.21803, 0.93555,
17:43:53, 55.48536, 32.27713, 29.58081, 357.29462, 12.94342, 133.25702, 0.04267, 0.21973, 0.93312,
17:43:54, 55.52196, 30.8343, 29.58018, 357.32767, 12.93701, 133.27886, 0.04291, 0.21803, 0.93312,
17:43:55, 55.57685, 31.43122, 29.58003, 357.31841, 12.8732, 133.27043, 0.04291, 0.21827, 0.93214,
17:43:55, 55.61344, 31.34504, 29.58032, 357.3253, 12.96487, 133.29799, 0.04267, 0.21851, 0.9336,
17:43:56, 55.54025, 32.72403, 29.58044, 357.33188, 13.01863, 133.43899, 0.04219, 0.21876, 0.93263,
17:43:57, 55.66834, 30.83749, 29.58063, 357.31215, 13.06362, 133.47733, 0.0434, 0.2173, 0.93628,
17:43:58, 55.54025, 31.65148, 29.58032, 357.36912, 12.99237, 133.50092, 0.04388, 0.21851, 0.93628,
17:43:58, 55.61344, 31.6036, 29.57938, 357.36461, 13.04441, 133.5446, 0.04316, 0.21997, 0.93531,
17:43:59, 55.59515, 33.49333, 29.57963, 357.34558, 13.02076, 133.5829, 0.04219, 0.21778, 0.93238,
17:44:00, 55.65004, 31.36738, 29.58055, 357.32445, 12.94282, 133.55945, 0.04291, 0.21851, 0.8739,
17:44:00, 55.61344, 32.63146, 29.5798, 357.34435, 12.91538, 133.53263, 0.04194, 0.21803, 0.93555,
