datetime, temp, humidity, pressure, pitch, roll, yaw, accel_x, accel_y, accel_z,
18:20:31, 54.14965, 36.87696, 29.61079, 357.62007, 12.60656, 133.14622, 0.0434, 0.21706, 0.93458,
18:20:32, 54.22284, 36.62478, 29.61071, 357.64704, 12.58643, 133.12036, 0.04219, 0.21633, 0.99769,
18:20:33, 54.27773, 40.40743, 29.61094, 357.5705, 12.6421, 133.14809, 0.04219, 0.21681, 0.93506,
18:20:34, 54.33263, 36.77481, 29.61152, 357.56722, 12.67221, 133.1132, 0.04267, 0.2156, 0.93433,
18:20:34, 54.27773, 37.07487, 29.61186, 357.5755, 12.70969, 133.06012, 0.04291, 0.2173, 0.93555,
18:20:35, 54.24114, 37.09402, 29.61155, 357.61859, 12.67866, 133.07309, 0.04267, 0.21633, 0.93555,
18:20:36, 54.38752, 39.8935, 29.61105, 357.60664, 12.67467, 133.11276, 0.04364, 0.21609, 0.9358,
18:20:37, 54.27773, 37.33981, 29.61058, 357.5834, 12.59631, 133.10464, 0.04316, 0.21681, 0.8739,
18:20:37, 54.29603, 36.65351, 29.61005, 357.59582, 12.54571, 133.09048, 0.04267, 0.21706, 0.93482,
18:20:38, 54.31433, 37.01103, 29.61083, 357.55445, 12.56048, 133.09148, 0.04194, 0.21584, 0.87365,
18:20:39, 54.36922, 37.25682, 29.61114, 357.51407, 12.54188, 133.08507, 0.04243, 0.2156, 0.93506,
18:20:39, 54.35093, 37.12275, 29.61017, 357.5412, 12.57956, 133.08178, 0.04364, 0.21657, 0.93604,
18:20:40, 54.25944, 37.19298, 29.6094, 357.51193, 12.71786, 132.96299, 0.04291, 0.21584, 0.93506,
18:20:41, 54.35093, 36.65351, 29.60959, 357.58428, 12.68387, 132.86658, 0.0434, 0.21584, 0.93385,
18:20:41, 54.42411, 37.47069, 29.61034, 357.58787, 12.63651, 132.86945, 0.0417, 0.21827, 0.93458,
18:20:42, 54.38752, 36.87057, 29.6104, 357.60108, 12.61796, 132.83297, 0.04243, 0.21657, 0.93677,
18:20:43, 54.38752, 37.37173, 29.60983, 357.61107, 12.68577, 132.83208, 0.04122, 0.21681, 0.93458,
18:20:44, 54.46071, 37.29512, 29.6093, 357.56204, 12.60949, 132.85047, 0.04364, 0.2173, 0.93385,
18:20:44, 54.40582, 37.90163, 29.6097, 357.58748, 12.62687, 132.81051, 0.04194, 0.21681, 0.93312,
18:20:45, 54.42411, 37.78671, 29.61023, 357.55851, 12.6403, 132.78833, 0.04219, 0.21633, 0.9336,
18:20:46, 54.46071, 37.56646, 29.61093, 357.56833, 12.63864, 132.78528, 0.04243, 0.21706, 0.93336,
18:20:46, 54.47901, 37.08125, 29.61173, 357.59429, 12.6129, 132.77074, 0.04291, 0.21706, 0.93409,
18:20:47, 54.4973, 37.49303, 29.61229, 357.61304, 12.61048, 132.75712, 0.04291, 0.2173, 0.93653,
18:20:48, 54.4973, 37.98143, 29.61155, 357.5764, 12.64798, 132.80258, 0.0434, 0.21657, 0.93482,
18:20:49, 54.57049, 37.56007, 29.61059, 357.59236, 12.52192, 132.90611, 0.0417, 0.21778, 0.93653,
18:20:49, 54.5156, 37.47707, 29.60999, 357.57066, 12.52673, 132.96303, 0.04316, 0.21681, 0.93409,
18:20:50, 54.46071, 36.9025, 29.60982, 357.56485, 12.47403, 132.91775, 0.04194, 0.21681, 0.9336,
18:20:51, 54.4973, 37.509, 29.60998, 357.54274, 12.50407, 132.8873, 0.04291, 0.21754, 0.93238,
18:20:51, 54.36922, 38.95821, 29.61026, 357.56598, 12.4972, 132.87055, 0.04364, 0.21633, 0.9319,
18:20:52, 54.46071, 37.44196, 29.60966, 357.59266, 12.5343, 132.85255, 0.04243, 0.21657, 0.99599,
18:20:53, 54.5156, 37.4675, 29.60972, 357.5584, 12.46647, 132.94083, 0.04267, 0.21681, 0.9336,
18:20:54, 54.60709, 36.52264, 29.60998, 357.54924, 12.51476, 132.96564, 0.0434, 0.21633, 0.93385,
18:20:54, 54.4973, 37.56646, 29.61065, 357.51973, 12.50718, 132.98389, 0.04194, 0.21633, 0.93506,
18:20:55, 54.33263, 37.53453, 29.61133, 357.48656, 12.47474, 132.97145, 0.04291, 0.21609, 0.93312,
18:20:56, 54.38752, 37.60476, 29.61085, 357.49434, 12.55605, 133.0034, 0.04437, 0.21706, 0.93336,
18:20:56, 54.4973, 37.63668, 29.61076, 357.44108, 12.53465, 133.04852, 0.04219, 0.21633, 0.93531,
18:20:57, 54.5522, 37.77075, 29.61095, 357.43843, 12.58792, 133.0424, 0.04291, 0.21754, 0.93555,
