{snapshot: 21:31:07, data: ['51.99056', '32.67295', '29.85579', '0.06349', '0.64193', '175.61399', '0.01382', '0.09153', '0.95091']}\n
{snapshot: 21:31:07, data: ['52.11864', '34.76379', '29.85553', '0.07414', '0.66132', '175.62438', '0.01455', '0.09129', '0.94896']}\n
{snapshot: 21:31:08, data: ['52.04546', '34.7574', '29.85609', '0.05737', '0.73105', '175.67701', '0.01358', '0.09226', '0.94749']}\n
{snapshot: 21:31:09, data: ['51.95397', '34.93935', '29.85575', '0.04318', '0.7653', '175.71129', '0.0143', '0.09129', '0.94993']}\n
{snapshot: 21:31:10, data: ['51.97227', '34.77336', '29.85559', '0.05111', '0.79731', '175.75877', '0.01552', '0.09178', '0.95042']}\n
{snapshot: 21:31:10, data: ['52.02716', '34.48607', '29.85615', '0.05481', '0.80217', '175.80452', '0.01333', '0.0925', '0.94944']}\n
{snapshot: 21:31:11, data: ['52.00886', '37.66541', '29.85619', '0.09312', '0.81919', '175.86408', '0.01406', '0.09129', '0.95042']}\n
{snapshot: 21:31:12, data: ['51.95397', '34.48607', '29.85582', '0.06921', '0.75196', '175.89439', '0.01503', '0.09202', '0.94847']}\n
{snapshot: 21:31:12, data: ['52.11864', '34.58183', '29.85564', '0.02469', '0.78409', '175.92241', '0.01455', '0.0908', '0.95115']}\n
{snapshot: 21:31:13, data: ['52.00886', '34.48927', '29.85605', '0.02003', '0.75933', '175.87184', '0.01455', '0.0925', '0.94993']}\n
{snapshot: 21:31:14, data: ['52.04546', '35.48839', '29.85642', '359.98492', '0.75082', '175.8431', '0.01915', '0.09032', '0.94164']}\n
{snapshot: 21:31:15, data: ['52.00886', '34.64887', '29.85646', '359.97153', '0.72284', '175.76105', '0.01406', '0.09226', '0.94944']}\n
{snapshot: 21:31:16, data: ['51.99056', '34.42223', '29.85618', '359.96867', '0.77585', '175.72526', '0.0143', '0.09202', '0.94774']}\n
{snapshot: 21:31:16, data: ['51.93567', '34.55949', '29.85644', '0.00578', '0.74448', '175.69707', '0.01358', '0.09299', '0.9492']}\n
{snapshot: 21:31:17, data: ['51.93567', '34.45096', '29.85628', '0.00207', '0.70029', '175.64553', '0.01285', '0.09178', '0.95017']}\n
{snapshot: 21:31:18, data: ['51.84418', '34.52757', '29.85647', '0.0386', '0.63111', '175.61337', '0.01309', '0.09178', '0.94896']}\n
{snapshot: 21:31:19, data: ['51.97227', '34.47969', '29.85657', '0.04172', '0.69418', '175.56668', '0.01309', '0.09202', '0.94701']}\n
{snapshot: 21:31:19, data: ['51.88078', '34.19878', '29.85655', '0.07938', '0.70579', '175.49562', '0.01309', '0.09202', '0.94993']}\n
{snapshot: 21:31:20, data: ['51.88078', '34.56907', '29.85703', '0.0113', '0.7242', '175.42733', '0.01333', '0.09153', '0.94944']}\n
