{snapshot: 15:30:14, data: ['56.83937', '27.722', '29.5701', '358.46094', '11.32868', '132.47097', '0.03831', '0.22483', '0.93677']}\n
{snapshot: 15:30:15, data: ['56.87596', '27.18892', '29.56991', '358.45822', '11.29025', '132.51559', '0.03855', '0.22483', '0.93385']}\n
{snapshot: 15:30:16, data: ['56.83937', '27.48897', '29.5706', '358.45943', '11.28611', '132.49174', '0.03879', '0.2258', '0.93482']}\n
{snapshot: 15:30:16, data: ['56.85767', '27.00058', '29.57045', '358.43452', '11.29883', '132.56998', '0.03855', '0.22483', '0.9955']}\n
{snapshot: 15:30:17, data: ['56.93085', '27.19211', '29.56991', '358.42855', '11.33578', '132.56833', '0.03709', '0.22483', '0.99769']}\n
{snapshot: 15:30:18, data: ['57.04064', '27.61347', '29.5701', '358.39066', '11.35762', '132.57649', '0.03637', '0.2241', '0.93555']}\n
{snapshot: 15:30:19, data: ['57.02234', '29.49362', '29.57053', '358.40276', '11.31851', '132.58857', '0.03782', '0.22507', '0.93482']}\n
{snapshot: 15:30:19, data: ['56.82107', '27.39321', '29.57098', '358.39576', '11.3303', '132.5931', '0.03782', '0.2258', '0.9375']}\n
{snapshot: 15:30:20, data: ['57.04064', '27.31341', '29.57086', '358.38838', '11.37945', '132.60517', '0.03637', '0.22555', '0.9358']}\n
{snapshot: 15:30:21, data: ['56.98575', '27.3964', '29.57022', '358.42041', '11.34455', '132.61423', '0.03709', '0.22458', '0.93263']}\n
{snapshot: 15:30:21, data: ['56.98575', '27.62943', '29.57014', '358.45982', '11.29082', '132.55869', '0.03612', '0.2275', '0.93092']}\n
{snapshot: 15:30:22, data: ['57.00405', '27.48578', '29.5705', '358.46808', '11.27879', '132.58205', '0.03661', '0.22507', '0.93141']}\n
{snapshot: 15:30:23, data: ['57.04064', '28.11463', '29.57044', '358.42552', '11.29191', '132.55584', '0.03661', '0.22507', '0.93336']}\n
{snapshot: 15:30:24, data: ['57.04064', '27.28149', '29.57071', '358.40885', '11.31029', '132.57714', '0.03709', '0.22458', '0.93385']}\n
{snapshot: 15:30:24, data: ['56.98575', '27.67731', '29.57152', '358.36788', '11.38125', '132.54987', '0.03782', '0.22385', '0.93336']}\n
{snapshot: 15:30:25, data: ['57.07723', '26.92078', '29.5718', '358.37058', '11.33784', '132.5123', '0.03685', '0.22483', '0.93506']}\n
{snapshot: 15:30:26, data: ['57.04064', '28.03163', '29.57163', '358.36248', '11.32716', '132.48753', '0.03734', '0.22677', '0.93677']}\n
{snapshot: 15:30:26, data: ['57.04064', '29.17441', '29.57069', '358.39067', '11.31948', '132.53953', '0.03758', '0.22531', '0.9375']}\n
{snapshot: 15:30:27, data: ['57.11383', '27.24637', '29.5709', '358.39438', '11.39937', '132.62177', '0.03758', '0.22628', '0.93823']}\n
{snapshot: 15:30:28, data: ['57.15042', '27.56878', '29.57097', '358.34856', '11.5066', '132.62247', '0.03637', '0.22531', '0.93458']}\n
{snapshot: 15:30:29, data: ['56.94915', '24.53308', '29.57045', '358.31683', '11.52255', '132.61125', '0.03685', '0.22483', '0.93555']}\n
{snapshot: 15:30:29, data: ['57.09553', '27.64858', '29.57024', '358.32932', '11.53222', '132.55441', '0.03782', '0.2241', '0.93506']}\n
{snapshot: 15:30:30, data: ['57.18702', '30.9141', '29.56992', '358.32852', '11.5982', '132.5154', '0.03709', '0.22555', '0.93555']}\n
{snapshot: 15:30:31, data: ['57.15042', '27.51451', '29.57055', '358.29166', '11.60771', '132.57931', '0.03806', '0.22458', '0.93385']}\n
{snapshot: 15:30:31, data: ['57.20532', '27.68369', '29.57097', '358.23835', '11.61424', '132.55303', '0.03806', '0.22507', '0.93385']}\n
{snapshot: 15:30:32, data: ['57.26021', '27.23999', '29.57024', '358.21153', '11.61447', '132.51643', '0.03758', '0.22628', '0.93555']}\n
{snapshot: 15:30:33, data: ['57.02234', '27.5592', '29.57108', '358.20555', '11.62076', '132.5262', '0.03612', '0.22628', '0.99696']}\n
{snapshot: 15:30:34, data: ['57.27851', '27.6805', '29.57176', '358.21836', '11.54801', '132.53393', '0.03685', '0.2258', '0.9358']}\n
{snapshot: 15:30:34, data: ['57.18702', '27.46344', '29.57158', '358.21026', '11.54239', '132.59588', '0.03685', '0.2258', '0.93433']}\n
{snapshot: 15:30:35, data: ['57.20532', '29.0946', '29.57123', '358.26051', '11.52118', '132.57821', '0.03588', '0.22604', '0.93555']}\n
{snapshot: 15:30:36, data: ['57.22361', '26.83459', '29.57155', '358.292', '11.49427', '132.54811', '0.03879', '0.22483', '0.93336']}\n
{snapshot: 15:30:36, data: ['57.22361', '28.21677', '29.57117', '358.27705', '11.48783', '132.60135', '0.03588', '0.2258', '0.9358']}\n
{snapshot: 15:30:37, data: ['57.22361', '27.52409', '29.57067', '358.31505', '11.48275', '132.60408', '0.03782', '0.22507', '0.93531']}\n
{snapshot: 15:30:38, data: ['57.24191', '27.82095', '29.57066', '358.35836', '11.52513', '132.64184', '0.03806', '0.22483', '0.93482']}\n
{snapshot: 15:30:38, data: ['57.3334', '27.95502', '29.57113', '358.31225', '11.56285', '132.76414', '0.03734', '0.22434', '0.93531']}\n
{snapshot: 15:30:39, data: ['57.3334', '27.90714', '29.57177', '358.24767', '11.5221', '132.74292', '0.03709', '0.22628', '0.9358']}\n
{snapshot: 15:30:40, data: ['57.15042', '27.31021', '29.57166', '358.23907', '11.54317', '132.6598', '0.03661', '0.2258', '0.93653']}\n
{snapshot: 15:30:41, data: ['57.20532', '30.54382', '29.57096', '358.19603', '11.53702', '132.70146', '0.03709', '0.22604', '0.9358']}\n
{snapshot: 15:30:41, data: ['57.36999', '28.28062', '29.57051', '358.22773', '11.57699', '132.71064', '0.03782', '0.22507', '0.93628']}\n
{snapshot: 15:30:42, data: ['57.18702', '27.83053', '29.57076', '358.19327', '11.51751', '132.62564', '0.03612', '0.22604', '0.93628']}\n
{snapshot: 15:30:43, data: ['57.26021', '26.29832', '29.57084', '358.24138', '11.52791', '132.6246', '0.03734', '0.22604', '0.93701']}\n
{snapshot: 15:30:43, data: ['57.27851', '30.17992', '29.57138', '358.18262', '11.52962', '132.69319', '0.03734', '0.22531', '0.93677']}\n
{snapshot: 15:30:44, data: ['57.15042', '27.79542', '29.57158', '358.20485', '11.50322', '132.71313', '0.03758', '0.22507', '0.93872']}\n
{snapshot: 15:30:45, data: ['57.11383', '26.03018', '29.57111', '358.17919', '11.55387', '132.64275', '0.03661', '0.22531', '0.93506']}\n
{snapshot: 15:30:46, data: ['57.24191', '27.22722', '29.57194', '358.2111', '11.57505', '132.59564', '0.03709', '0.22507', '0.93385']}\n
{snapshot: 15:30:46, data: ['57.27851', '27.79861', '29.57185', '358.21244', '11.53388', '132.59322', '0.03734', '0.22458', '0.93385']}\n
{snapshot: 15:30:47, data: ['57.3334', '29.11695', '29.57127', '358.23708', '11.56659', '132.64503', '0.03685', '0.22507', '0.9336']}\n
{snapshot: 15:30:48, data: ['57.11383', '27.66135', '29.57184', '358.20169', '11.5764', '132.66435', '0.03855', '0.22531', '0.93385']}\n
{snapshot: 15:30:48, data: ['57.15042', '27.90714', '29.57223', '358.19989', '11.61035', '132.69332', '0.03734', '0.22555', '0.93604']}\n
{snapshot: 15:30:49, data: ['57.18702', '27.94225', '29.57199', '358.19484', '11.60635', '132.63117', '0.03709', '0.22531', '0.93409']}\n
{snapshot: 15:30:50, data: ['57.24191', '27.61347', '29.57114', '358.20565', '11.61675', '132.67028', '0.03588', '0.22604', '0.9358']}\n
{snapshot: 15:30:51, data: ['57.22361', '27.90714', '29.57075', '358.26198', '11.59067', '132.69668', '0.03758', '0.2241', '0.93385']}\n
{snapshot: 15:30:51, data: ['57.3334', '27.33256', '29.5705', '358.24662', '11.60228', '132.77627', '0.03637', '0.22725', '0.9336']}\n
{snapshot: 15:30:52, data: ['57.26021', '27.90075', '29.57068', '358.27867', '11.59137', '132.83534', '0.03685', '0.22531', '0.93165']}\n
{snapshot: 15:30:53, data: ['57.27851', '27.86245', '29.57062', '358.29239', '11.56361', '132.92517', '0.03855', '0.22507', '0.93092']}\n
{snapshot: 15:30:53, data: ['57.16872', '27.81138', '29.57066', '358.29538', '11.51452', '133.00199', '0.03709', '0.2241', '0.92873']}\n
{snapshot: 15:30:54, data: ['57.16872', '27.94544', '29.57114', '358.30693', '11.54787', '133.07151', '0.03806', '0.22507', '0.92946']}\n
{snapshot: 15:30:55, data: ['57.15042', '27.6805', '29.57119', '358.25843', '11.53207', '133.12585', '0.03661', '0.22483', '0.92775']}\n
{snapshot: 15:30:56, data: ['57.20532', '27.58793', '29.57036', '358.26151', '11.4983', '133.1369', '0.03734', '0.22555', '0.92556']}\n
{snapshot: 15:30:56, data: ['57.11383', '27.84968', '29.57049', '358.26887', '11.51084', '133.12349', '0.03661', '0.22483', '0.92922']}\n
{snapshot: 15:30:57, data: ['57.11383', '27.722', '29.57125', '358.2421', '11.50708', '133.08711', '0.03709', '0.2258', '0.92897']}\n
{snapshot: 15:30:58, data: ['57.07723', '27.48897', '29.57125', '358.23872', '11.50518', '133.06793', '0.03612', '0.22725', '0.92751']}\n
{snapshot: 15:30:58, data: ['57.16872', '27.74434', '29.57202', '358.28175', '11.4706', '133.06967', '0.03661', '0.22531', '0.93019']}\n
{snapshot: 15:30:59, data: ['57.16872', '31.63233', '29.57179', '358.29935', '11.4411', '133.01516', '0.03831', '0.22677', '0.93141']}\n
{snapshot: 15:31:00, data: ['57.09553', '28.90627', '29.57083', '358.29023', '11.42472', '132.98743', '0.03806', '0.22531', '0.92897']}\n
{snapshot: 15:31:00, data: ['57.11383', '27.60708', '29.57112', '358.30054', '11.47169', '132.93793', '0.03806', '0.22483', '0.93117']}\n
{snapshot: 15:31:01, data: ['57.11383', '27.50493', '29.57103', '358.33828', '11.43105', '132.91589', '0.03782', '0.22531', '0.93336']}\n
{snapshot: 15:31:02, data: ['57.22361', '27.56239', '29.57163', '358.2955', '11.44212', '132.90723', '0.03758', '0.22507', '0.9336']}\n
{snapshot: 15:31:03, data: ['57.2968', '27.54005', '29.57179', '358.29538', '11.38002', '132.88944', '0.03709', '0.22628', '0.93409']}\n
{snapshot: 15:31:03, data: ['57.3151', '30.54063', '29.57215', '358.30087', '11.44628', '132.82651', '0.03758', '0.22385', '0.93287']}\n
{snapshot: 15:31:04, data: ['57.18702', '27.38044', '29.57189', '358.29366', '11.45513', '132.872', '0.03709', '0.22507', '0.93458']}\n
{snapshot: 15:31:05, data: ['57.13213', '27.24637', '29.57152', '358.3335', '11.48272', '132.85129', '0.03661', '0.22434', '0.93604']}\n
{snapshot: 15:31:05, data: ['57.2968', '27.6007', '29.57133', '358.33689', '11.40354', '132.85057', '0.03685', '0.22555', '0.99769']}\n
{snapshot: 15:31:06, data: ['57.42488', '28.22316', '29.57143', '358.33822', '11.41753', '132.8554', '0.03709', '0.2258', '0.93336']}\n
{snapshot: 15:31:07, data: ['57.24191', '27.61666', '29.57148', '358.40782', '11.44575', '132.78378', '0.03758', '0.2258', '0.9336']}\n
{snapshot: 15:31:08, data: ['57.27851', '27.64219', '29.57135', '358.4138', '11.40909', '132.82696', '0.03661', '0.22507', '0.93385']}\n
{snapshot: 15:31:08, data: ['57.2968', '28.70836', '29.57052', '358.43568', '11.42325', '132.86912', '0.03661', '0.22555', '0.9358']}\n
{snapshot: 15:31:09, data: ['57.3151', '27.66135', '29.57092', '358.42835', '11.36942', '132.92715', '0.03734', '0.22483', '0.99648']}\n
{snapshot: 15:31:10, data: ['57.20532', '33.92426', '29.57163', '358.45302', '11.35503', '132.97743', '0.03782', '0.22434', '0.93628']}\n
{snapshot: 15:31:10, data: ['57.22361', '27.34214', '29.5721', '358.4737', '11.30482', '133.05657', '0.03782', '0.2258', '0.99696']}\n
{snapshot: 15:31:11, data: ['57.16872', '27.23041', '29.57259', '358.44556', '11.22383', '133.02784', '0.03806', '0.22628', '0.93458']}\n
{snapshot: 15:31:12, data: ['57.27851', '27.57197', '29.57259', '358.42576', '11.21225', '133.08001', '0.03782', '0.22604', '0.93653']}\n
{snapshot: 15:31:13, data: ['57.47978', '27.58474', '29.57283', '358.46298', '11.27947', '133.07355', '0.03855', '0.22555', '0.99648']}\n
