{snapshot: 15:07:11, data: ['64.68895', '28.46895', '29.60558', '0.16352', '7.06005', '196.87338', '-0.00395', '0.10343', '0.95456']}\n
{snapshot: 15:07:12, data: ['64.52427', '28.40511', '29.60595', '0.19951', '7.05317', '196.82636', '-0.00691', '0.10052', '0.95091']}\n
{snapshot: 15:07:12, data: ['64.61575', '29.06907', '29.60662', '0.58741', '7.90842', '197.11743', '-0.00469', '0.0976', '0.96187']}\n
{snapshot: 15:07:13, data: ['64.63405', '28.17847', '29.60713', '357.25853', '357.89137', '190.47944', '-0.04542', '0.00923', '1.01841']}\n
{snapshot: 15:07:14, data: ['64.63405', '28.47533', '29.60717', '9.88541', '350.41297', '199.50299', '-0.13304', '-0.15101', '0.94627']}\n
{snapshot: 15:07:15, data: ['64.59746', '28.37957', '29.60604', '8.23435', '355.28003', '192.10847', '-0.30139', '-0.16934', '0.89388']}\n
{snapshot: 15:07:16, data: ['64.65235', '28.16889', '29.60598', '6.03786', '345.27161', '200.62729', '-0.18118', '-0.14763', '0.94627']}\n
{snapshot: 15:07:16, data: ['64.50597', '28.4498', '29.60634', '14.16578', '17.24548', '244.4454', '-0.13897', '0.15247', '1.01743']}\n
{snapshot: 15:07:17, data: ['64.14002', '28.81689', '29.60587', '19.70433', '17.38137', '290.85355', '-0.078', '0.14568', '0.77569']}\n
{snapshot: 15:07:18, data: ['64.10343', '28.5296', '29.6054', '16.61894', '18.73552', '326.43582', '-0.20241', '0.09979', '0.99112']}\n
{snapshot: 15:07:19, data: ['64.21321', '26.90801', '29.60581', '0.98515', '24.32689', '302.18308', '-0.24239', '-0.15052', '0.99331']}\n
{snapshot: 15:07:19, data: ['64.14002', '28.46895', '29.60613', '1.20704', '12.88573', '278.01038', '0.06328', '-0.13436', '1.015']}\n
{snapshot: 15:07:20, data: ['64.08513', '28.41149', '29.60649', '31.17422', '2.76966', '281.2153', '-0.19648', '-0.20697', '1.01354']}\n
{snapshot: 15:07:21, data: ['64.03024', '28.33488', '29.60705', '33.49003', '358.07481', '292.05688', '-0.09454', '-0.01954', '0.84417']}\n
{snapshot: 15:07:22, data: ['63.90216', '28.32531', '29.60698', '17.02931', '343.90826', '247.70704', '-0.04369', '-0.11', '1.06471']}\n
{snapshot: 15:07:23, data: ['63.90216', '28.48491', '29.60745', '4.3192', '319.22824', '201.03334', '-0.23647', '-0.14884', '0.78373']}\n
{snapshot: 15:07:23, data: ['63.81067', '28.47853', '29.60816', '21.42293', '305.5512', '213.19624', '-0.01555', '-0.04197', '0.75717']}\n
{snapshot: 15:07:24, data: ['63.81067', '26.08445', '29.60842', '55.97886', '306.13218', '195.6841', '-0.53958', '-0.05741', '0.99745']}\n
{snapshot: 15:07:25, data: ['63.84727', '25.13639', '29.60802', '74.55653', '317.88616', '223.09113', '-0.65609', '-0.17151', '0.80517']}\n
{snapshot: 15:07:26, data: ['63.79237', '31.07371', '29.60731', '79.27232', '251.02711', '179.58716', '-0.76939', '-0.08636', '0.6436']}\n
{snapshot: 15:07:26, data: ['63.81067', '28.29019', '29.60802', '84.81088', '180.20199', '135.47071', '-0.80789', '-0.16982', '0.42403']}\n
{snapshot: 15:07:27, data: ['63.75578', '28.35403', '29.60785', '82.77936', '219.30708', '176.33284', '-0.98265', '-0.30829', '0.35263']}\n
{snapshot: 15:07:28, data: ['63.84727', '28.46895', '29.60816', '66.43858', '174.61343', '145.50838', '-0.9007', '-0.2118', '0.12843']}\n
{snapshot: 15:07:28, data: ['63.92045', '22.70081', '29.60837', '46.08781', '280.08175', '236.74123', '-0.64473', '-0.20866', '0.33776']}\n
{snapshot: 15:07:29, data: ['63.75578', '28.89031', '29.60757', '43.77267', '287.82392', '231.62094', '-0.70817', '-0.37004', '0.39528']}\n
{snapshot: 15:07:30, data: ['63.73748', '28.72751', '29.60762', '34.74949', '197.20699', '183.77791', '-0.77679', '-0.09142', '-0.36082']}\n
{snapshot: 15:07:31, data: ['63.84727', '28.6509', '29.60764', '22.13536', '191.45515', '192.63463', '-0.95822', '-0.06031', '-0.2162']}\n
{snapshot: 15:07:31, data: ['63.95705', '27.18253', '29.60788', '38.11486', '168.08821', '166.02115', '-1.16852', '-0.02412', '-0.50013']}\n
{snapshot: 15:07:32, data: ['63.88386', '27.99333', '29.60783', '40.94309', '187.03652', '164.87293', '-0.92168', '-0.07864', '-0.32274']}\n
{snapshot: 15:07:33, data: ['63.97535', '28.26466', '29.60793', '42.87619', '190.73753', '157.74536', '-0.95279', '-0.25932', '-0.23211']}\n
{snapshot: 15:07:33, data: ['64.04854', '28.36042', '29.60877', '31.37437', '187.50945', '140.20624', '-0.97303', '-0.23109', '-0.18511']}\n
{snapshot: 15:07:34, data: ['63.99364', '28.58068', '29.60868', '15.99876', '186.51583', '123.82928', '-0.94859', '-0.25956', '-0.25236']}\n
{snapshot: 15:07:35, data: ['64.06683', '28.17208', '29.60837', '5.70005', '196.44411', '122.12515', '-0.80666', '-0.23809', '-0.54183']}\n
{snapshot: 15:07:36, data: ['63.99364', '28.83924', '29.60805', '3.50349', '198.19334', '133.05644', '-1.02511', '0.01554', '-0.50785']}\n
{snapshot: 15:07:36, data: ['64.01194', '29.38828', '29.6084', '0.34102', '208.38581', '151.02111', '-0.78198', '-0.28995', '-0.53436']}\n
{snapshot: 15:07:37, data: ['64.15832', '28.93181', '29.60863', '1.11521', '204.67423', '154.75385', '-0.84245', '-0.33989', '-0.62209']}\n
