{snapshot: 14:54:53, data: ['62.1822', '30.6332', '29.61532', '0.19583', '6.01636', '194.65774', '-0.00395', '0.09493', '0.96406']}\n
{snapshot: 14:54:54, data: ['62.14561', '30.59809', '29.61446', '0.23372', '5.9551', '194.73934', '-0.00296', '0.09906', '0.96309']}\n
{snapshot: 14:54:55, data: ['62.10901', '30.30441', '29.61487', '0.24715', '5.94507', '194.75576', '-0.00222', '0.10513', '0.95188']}\n
{snapshot: 14:54:56, data: ['62.12731', '31.00029', '29.61561', '0.3019', '5.91165', '194.72103', '-0.00592', '0.0959', '0.94822']}\n
{snapshot: 14:54:56, data: ['62.38347', '30.72896', '29.61555', '0.31099', '5.93264', '194.68781', '-0.0037', '0.10076', '0.96601']}\n
{snapshot: 14:54:57, data: ['62.2188', '30.58212', '29.61487', '0.29263', '5.87778', '194.65724', '-0.00469', '0.10052', '0.95139']}\n
{snapshot: 14:54:58, data: ['62.14561', '30.8343', '29.61453', '0.29877', '5.84117', '194.70808', '-0.00518', '0.09906', '0.95407']}\n
{snapshot: 14:54:58, data: ['62.1822', '31.15351', '29.61505', '0.2498', '5.90934', '194.75275', '-0.00469', '0.1027', '0.95164']}\n
{snapshot: 14:54:59, data: ['62.27369', '30.61086', '29.61508', '0.21427', '5.98547', '194.79082', '-0.0042', '0.09906', '0.95846']}\n
{snapshot: 14:55:00, data: ['62.29199', '30.90134', '29.6154', '0.1894', '5.98562', '194.79556', '-0.00543', '0.09615', '0.96528']}\n
{snapshot: 14:55:01, data: ['62.25539', '30.83111', '29.61576', '0.18221', '6.00924', '194.83439', '-0.00543', '0.09906', '0.95334']}\n
{snapshot: 14:55:01, data: ['62.25539', '30.60447', '29.61607', '0.17003', '6.04067', '194.81698', '-0.00321', '0.09615', '0.95919']}\n
{snapshot: 14:55:02, data: ['62.1822', '30.70981', '29.61576', '0.17939', '6.00413', '194.79804', '-0.00247', '0.0993', '0.96869']}\n
{snapshot: 14:55:03, data: ['62.23709', '30.6332', '29.61572', '0.19767', '5.97186', '194.75402', '-0.0042', '0.09542', '0.95091']}\n
{snapshot: 14:55:03, data: ['62.1822', '31.10882', '29.61594', '0.19672', '5.98161', '194.77552', '-0.00173', '0.09542', '0.96626']}\n
{snapshot: 14:55:04, data: ['62.2188', '32.1303', '29.61572', '0.14081', '5.96488', '194.72342', '-0.00321', '0.09639', '0.96114']}\n
{snapshot: 14:55:05, data: ['62.29199', '34.88189', '29.61563', '0.13697', '5.99305', '194.70582', '-0.00272', '0.0959', '0.9648']}\n
{snapshot: 14:55:06, data: ['62.38347', '30.76407', '29.61579', '0.1789', '5.9846', '194.67134', '-0.0037', '0.10222', '0.96333']}\n
{snapshot: 14:55:06, data: ['62.32858', '31.04817', '29.61629', '0.18315', '5.9902', '194.69041', '-0.00469', '0.09954', '0.95432']}\n
{snapshot: 14:55:07, data: ['62.29199', '31.00029', '29.61616', '0.19823', '5.96292', '194.75759', '-0.00494', '0.09445', '0.95261']}\n
{snapshot: 14:55:08, data: ['62.23709', '30.99391', '29.61559', '0.15631', '5.94335', '194.77233', '-0.00296', '0.09639', '0.94896']}\n
{snapshot: 14:55:09, data: ['62.07242', '31.53018', '29.61563', '0.1533', '5.94052', '194.74737', '-0.00543', '0.09517', '0.9531']}\n
{snapshot: 14:55:09, data: ['62.2188', '31.02583', '29.61576', '0.13904', '5.86902', '194.78255', '-0.00395', '0.09542', '0.95456']}\n
{snapshot: 14:55:10, data: ['62.27369', '30.82153', '29.61561', '0.1556', '5.87018', '194.80203', '-0.00395', '0.09566', '0.94847']}\n
{snapshot: 14:55:11, data: ['62.1822', '30.85026', '29.61587', '0.17642', '5.91597', '194.84399', '-0.00444', '0.09979', '0.95456']}\n
{snapshot: 14:55:11, data: ['62.29199', '31.58764', '29.61488', '0.19144', '5.99029', '194.80629', '-0.0042', '0.09954', '0.95164']}\n
{snapshot: 14:55:12, data: ['62.36518', '31.27162', '29.61428', '0.1871', '6.04368', '194.84711', '-0.0037', '0.09906', '0.95748']}\n
{snapshot: 14:55:13, data: ['62.38347', '30.47359', '29.6156', '0.20975', '6.06462', '194.88254', '-0.00494', '0.10197', '0.94774']}\n
{snapshot: 14:55:14, data: ['62.34688', '30.70023', '29.61621', '0.22344', '6.04574', '194.98924', '-0.00395', '0.09954', '0.95432']}\n
{snapshot: 14:55:14, data: ['62.34688', '30.96518', '29.61568', '0.24111', '5.99963', '194.95912', '-0.00395', '0.09566', '0.95992']}\n
{snapshot: 14:55:15, data: ['62.31028', '30.95879', '29.61568', '0.23814', '5.98873', '194.97064', '-0.00494', '0.09615', '0.95578']}\n
{snapshot: 14:55:16, data: ['62.38347', '30.98433', '29.61516', '0.2146', '5.94363', '194.97152', '-0.00518', '0.09493', '0.94871']}\n
{snapshot: 14:55:17, data: ['62.38347', '30.53105', '29.61413', '0.1975', '5.91254', '194.95825', '-0.00469', '0.10222', '0.95748']}\n
{snapshot: 14:55:18, data: ['62.36518', '30.5534', '29.61438', '0.1608', '5.92916', '194.9249', '-0.00741', '0.09809', '0.95822']}\n
{snapshot: 14:55:18, data: ['62.36518', '30.97156', '29.61524', '0.14311', '5.95337', '194.89029', '-0.00494', '0.0959', '0.9665']}\n
{snapshot: 14:55:19, data: ['62.63964', '29.58619', '29.61513', '0.10507', '5.95877', '194.85266', '-0.00222', '0.10173', '0.96382']}\n
{snapshot: 14:55:20, data: ['62.31028', '30.66831', '29.61418', '0.07065', '5.98135', '194.80985', '-0.0042', '0.10003', '0.95212']}\n
{snapshot: 14:55:20, data: ['62.32858', '30.00116', '29.61373', '0.13023', '6.00908', '194.79007', '-0.00321', '0.09979', '0.93604']}\n
{snapshot: 14:55:21, data: ['62.49326', '30.66831', '29.61361', '0.18507', '6.01643', '194.87262', '-0.00197', '0.10222', '0.96455']}\n
{snapshot: 14:55:22, data: ['62.34688', '30.48636', '29.61418', '0.20803', '6.00973', '194.91579', '-0.00296', '0.09882', '0.95797']}\n
{snapshot: 14:55:23, data: ['62.49326', '26.03018', '29.61454', '0.18698', '6.03094', '195.02458', '-0.00222', '0.09712', '0.9648']}\n
{snapshot: 14:55:23, data: ['62.38347', '30.19269', '29.61477', '0.17866', '6.05473', '195.10281', '-0.00222', '0.10052', '0.96577']}\n
{snapshot: 14:55:24, data: ['62.38347', '30.66193', '29.6152', '0.13023', '6.02669', '195.09593', '-0.00272', '0.09906', '0.96528']}\n
{snapshot: 14:55:25, data: ['62.42007', '31.16947', '29.61478', '0.11755', '6.11408', '195.11758', '-0.00642', '0.10173', '0.9548']}\n
{snapshot: 14:55:25, data: ['62.42007', '30.7545', '29.61467', '0.11735', '6.09407', '195.18155', '-0.00395', '0.09566', '0.95017']}\n
{snapshot: 14:55:26, data: ['62.34688', '30.58851', '29.6148', '0.12876', '6.09046', '195.19394', '-0.00839', '0.10246', '0.94969']}\n
{snapshot: 14:55:27, data: ['62.29199', '30.72896', '29.61505', '0.12943', '6.12238', '195.24571', '-0.00346', '0.10319', '0.96333']}\n
{snapshot: 14:55:28, data: ['62.25539', '32.36971', '29.61519', '0.14167', '6.11929', '195.27484', '-0.00568', '0.10076', '0.95237']}\n
{snapshot: 14:55:29, data: ['62.38347', '30.4704', '29.61511', '0.16669', '6.11293', '195.33634', '-0.00395', '0.10149', '0.95968']}\n
