{snapshot: 21:14:59, data: ['55.52196', '29.09141', '29.85776', '0.09379', '0.8603', '176.10355', '0.01115', '0.09396', '0.94652']}\n
{snapshot: 21:14:59, data: ['55.52196', '29.20952', '29.85737', '0.11416', '0.7923', '176.11169', '0.01406', '0.09372', '0.95359']}\n
{snapshot: 21:15:00, data: ['55.54025', '29.37232', '29.85721', '0.16945', '0.74579', '176.08833', '0.01382', '0.09348', '0.95285']}\n
{snapshot: 21:15:01, data: ['55.48536', '29.52554', '29.85758', '0.1268', '0.81804', '176.14914', '0.01455', '0.09396', '0.95237']}\n
{snapshot: 21:15:02, data: ['55.50366', '29.16164', '29.85794', '0.1069', '0.83201', '176.15212', '0.01382', '0.09517', '0.95066']}\n
{snapshot: 21:15:02, data: ['55.44877', '29.23186', '29.85755', '0.14631', '0.82333', '176.1892', '0.01164', '0.09396', '0.95042']}\n
{snapshot: 21:15:03, data: ['55.44877', '29.53831', '29.85695', '0.09123', '0.83681', '176.19246', '0.01358', '0.09493', '0.94822']}\n
{snapshot: 21:15:04, data: ['55.44877', '28.69559', '29.85732', '0.11366', '0.82646', '176.25583', '0.01285', '0.09323', '0.95115']}\n
{snapshot: 21:15:05, data: ['55.32069', '29.27655', '29.858', '0.09268', '0.80174', '176.21775', '0.01261', '0.09372', '0.94871']}\n
{snapshot: 21:15:06, data: ['55.44877', '29.50639', '29.85796', '0.08246', '0.75678', '176.22122', '0.01358', '0.09372', '0.9548']}\n
{snapshot: 21:15:06, data: ['55.43047', '29.65641', '29.85796', '0.09204', '0.84465', '176.30773', '0.01358', '0.09372', '0.94969']}\n
{snapshot: 21:15:07, data: ['55.39388', '26.76437', '29.85746', '0.08974', '0.72753', '176.28956', '0.01212', '0.09275', '0.94652']}\n
{snapshot: 21:15:08, data: ['55.33898', '29.64684', '29.85787', '0.12606', '0.70185', '176.32054', '0.01333', '0.09348', '0.94701']}\n
{snapshot: 21:15:09, data: ['55.35728', '29.42339', '29.85783', '0.131', '0.70697', '176.31629', '0.01382', '0.09348', '0.9453']}\n
