{snapshot: 19:42:18, data: ['52.74076', '42.38015', '29.62417', '357.6866', '12.79504', '132.70239', '0.04146', '0.21487', '0.9336']}\n
{snapshot: 19:42:19, data: ['52.75905', '42.47911', '29.62428', '357.68821', '12.80078', '132.73477', '0.04267', '0.21487', '0.93287']}\n
{snapshot: 19:42:20, data: ['52.57608', '42.51422', '29.62434', '357.6546', '12.79958', '132.73743', '0.04291', '0.21487', '0.93336']}\n
{snapshot: 19:42:21, data: ['52.72246', '42.70575', '29.62439', '357.65682', '12.71941', '132.71611', '0.0417', '0.21536', '0.93409']}\n
{snapshot: 19:42:21, data: ['52.63097', '42.5621', '29.62397', '357.67832', '12.66524', '132.73135', '0.04243', '0.21609', '0.93141']}\n
{snapshot: 19:42:22, data: ['52.66757', '42.55252', '29.62377', '357.68359', '12.71258', '132.74843', '0.0434', '0.21536', '0.93312']}\n
{snapshot: 19:42:23, data: ['52.64927', '42.70894', '29.62421', '357.69066', '12.64544', '132.77388', '0.04219', '0.2156', '0.93092']}\n
{snapshot: 19:42:23, data: ['52.61267', '43.92832', '29.62394', '357.72247', '12.71439', '132.73583', '0.04267', '0.2156', '0.93238']}\n
{snapshot: 19:42:24, data: ['52.53948', '42.59083', '29.62397', '357.75967', '12.69734', '132.79578', '0.04267', '0.21511', '0.92995']}\n
{snapshot: 19:42:25, data: ['52.57608', '42.76959', '29.6244', '357.75426', '12.7204', '132.81442', '0.0417', '0.21633', '0.93165']}\n
{snapshot: 19:42:26, data: ['52.4663', '42.72809', '29.62432', '357.77535', '12.70873', '132.80255', '0.04316', '0.2156', '0.9297']}\n
{snapshot: 19:42:26, data: ['52.50289', '42.68979', '29.62427', '357.79115', '12.74591', '132.79155', '0.0417', '0.2156', '0.93068']}\n
{snapshot: 19:42:27, data: ['52.53948', '42.74725', '29.62396', '357.8486', '12.82083', '132.82073', '0.04243', '0.21487', '0.93165']}\n
{snapshot: 19:42:28, data: ['52.448', '42.67702', '29.62339', '357.88127', '12.90197', '132.79651', '0.0434', '0.21511', '0.93726']}\n
{snapshot: 19:42:29, data: ['52.88713', '43.13668', '29.62343', '357.85973', '12.85291', '132.80332', '0.0434', '0.2156', '0.93165']}\n
{snapshot: 19:42:29, data: ['52.66757', '42.74405', '29.62377', '357.86065', '12.92062', '132.78084', '0.04316', '0.21439', '0.93092']}\n
{snapshot: 19:42:30, data: ['52.59438', '43.06007', '29.62369', '357.82782', '12.83361', '132.73822', '0.04364', '0.21536', '0.93287']}\n
{snapshot: 19:42:31, data: ['52.70416', '43.42078', '29.62392', '357.7842', '12.90245', '132.70679', '0.04388', '0.21511', '0.93312']}\n
{snapshot: 19:42:31, data: ['52.59438', '42.69617', '29.62418', '357.80653', '12.88925', '132.75563', '0.04316', '0.21487', '0.93068']}\n
{snapshot: 19:42:32, data: ['52.72246', '42.76001', '29.62393', '357.79781', '12.88254', '132.71202', '0.04219', '0.21584', '0.93385']}\n
{snapshot: 19:42:33, data: ['52.70416', '42.67382', '29.62395', '357.80722', '12.8768', '132.79334', '0.04243', '0.21511', '0.93043']}\n
{snapshot: 19:42:34, data: ['52.83224', '42.83343', '29.62385', '357.75355', '12.88385', '132.81396', '0.04485', '0.21584', '0.93238']}\n
