{snapshot: 23:36:30, data: ['50.10593', '44.97533', '29.82367', '3.93047', '7.83137', '124.87207', '0.00412', '0.07818', '0.96041']}\n
{snapshot: 23:36:31, data: ['50.08764', '45.15728', '29.82301', '3.53657', '7.59339', '125.58305', '0.00364', '0.08085', '0.95968']}\n
{snapshot: 23:36:32, data: ['50.17912', '45.00406', '29.82283', '3.14313', '7.44305', '126.2693', '0.00339', '0.07964', '0.957']}\n
{snapshot: 23:36:32, data: ['50.27061', '45.36158', '29.82275', '2.87379', '7.24382', '126.85474', '0.00048', '0.07818', '0.95992']}\n
{snapshot: 23:36:33, data: ['50.27061', '43.0888', '29.82223', '2.56994', '7.0989', '127.42155', '0.00291', '0.08036', '0.95895']}\n
{snapshot: 23:36:34, data: ['50.49018', '45.31689', '29.82257', '2.42441', '6.91886', '127.93369', '-0.01086', '0.08231', '0.96967']}\n
{snapshot: 23:36:34, data: ['50.17912', '45.20517', '29.82319', '2.92648', '6.71004', '128.31766', '-0.00025', '0.18355', '1.07202']}\n
{snapshot: 23:36:35, data: ['50.39869', '45.23071', '29.82283', '21.20608', '26.11683', '135.13241', '-0.27596', '0.12747', '0.85854']}\n
{snapshot: 23:36:36, data: ['50.38039', '44.67208', '29.82291', '7.56503', '310.08558', '85.14745', '0.1908', '0.64777', '0.79421']}\n
{snapshot: 23:36:37, data: ['50.43529', '45.33604', '29.82311', '336.15084', '319.96325', '104.00096', '0.09892', '0.33505', '0.87341']}\n
{snapshot: 23:36:37, data: ['50.45358', '45.62971', '29.82236', '22.17357', '321.38838', '41.02073', '-0.29003', '0.32656', '0.70916']}\n
{snapshot: 23:36:38, data: ['50.56337', '45.50842', '29.82289', '44.809', '297.11887', '36.3984', '0.1091', '0.47005', '0.75497']}\n
{snapshot: 23:36:39, data: ['50.50847', '45.85316', '29.8228', '350.01001', '18.26189', '205.56724', '-1.1194', '2.05645', '-0.13449']}\n
{snapshot: 23:36:40, data: ['50.83783', '45.70633', '29.82253', '347.91345', '279.6367', '63.19786', '1.54559', '1.23217', '-1.0451']}\n
{snapshot: 23:36:41, data: ['50.78294', '46.05746', '29.82274', '322.86242', '316.72124', '104.22874', '-1.3766', '-0.80955', '0.84441']}\n
{snapshot: 23:36:41, data: ['50.87442', '46.34794', '29.82248', '298.93154', '330.78327', '69.16132', '-0.84615', '0.03326', '0.3346']}\n
{snapshot: 23:36:42, data: ['51.0391', '46.25217', '29.82229', '358.20153', '244.45176', '133.9216', '1.42995', '-0.3575', '-1.31312']}\n
{snapshot: 23:36:43, data: ['50.94761', '46.5267', '29.82257', '20.26652', '231.04089', '37.05442', '3.66481', '0.522', '0.71769']}\n
{snapshot: 23:36:44, data: ['51.11229', '46.24899', '29.82231', '318.33982', '249.88537', '267.62965', '0.86214', '-0.42649', '0.88559']}\n
{snapshot: 23:36:45, data: ['51.20378', '46.49478', '29.82128', '20.32792', '272.04376', '221.22213', '-0.46356', '3.06016', '-0.18415']}\n
{snapshot: 23:36:45, data: ['51.14888', '46.4469', '29.82123', '332.40828', '294.14014', '117.42737', '0.92639', '0.46689', '0.88218']}\n
{snapshot: 23:36:46, data: ['51.33186', '46.39582', '29.82123', '34.35861', '248.78951', '194.65971', '0.42234', '-0.71306', '0.83807']}\n
{snapshot: 23:36:47, data: ['51.29526', '46.72461', '29.82171', '55.44702', '298.32501', '238.44383', '0.37943', '-0.08805', '0.99428']}\n
{snapshot: 23:36:48, data: ['51.35015', '46.86506', '29.82117', '47.29148', '296.95961', '228.9161', '0.00679', '-0.11362', '0.95432']}\n
