\n
{snapshot: 16:33:57, data: ['57.09553', '27.17615', '29.56273', '357.71663', '13.03191', '133.92594', '0.04', '0.22264', '0.93677']}\n
{snapshot: 16:33:57, data: ['57.18702', '27.19849', '29.56179', '357.69299', '13.01637', '133.92231', '0.04', '0.22191', '0.93628']}\n
{snapshot: 16:33:58, data: ['57.20532', '27.26233', '29.56169', '357.68333', '13.02773', '133.90987', '0.03855', '0.22191', '0.99769']}\n
{snapshot: 16:33:59, data: ['57.24191', '27.91991', '29.5618', '357.643', '12.93991', '133.89884', '0.03855', '0.22264', '0.93385']}\n
{snapshot: 16:34:00, data: ['57.20532', '27.1953', '29.56161', '357.67643', '12.96572', '133.86392', '0.03879', '0.2224', '0.93628']}\n
{snapshot: 16:34:00, data: ['57.20532', '27.26553', '29.56207', '357.64649', '12.89418', '133.87959', '0.04073', '0.22167', '0.93409']}\n
{snapshot: 16:34:01, data: ['57.04064', '29.11056', '29.56253', '357.597', '12.92836', '133.86531', '0.03782', '0.22313', '0.93214']}\n
{snapshot: 16:34:02, data: ['57.11383', '27.19211', '29.56255', '357.62769', '12.99582', '133.86347', '0.04049', '0.22143', '0.93165']}\n
{snapshot: 16:34:02, data: ['56.89426', '27.79222', '29.56242', '357.60772', '13.01099', '133.90803', '0.03903', '0.22167', '0.93263']}\n
{snapshot: 16:34:03, data: ['57.00405', '31.25247', '29.56216', '357.65377', '12.96759', '133.98684', '0.03903', '0.22046', '0.93141']}\n
{snapshot: 16:34:04, data: ['57.09553', '27.20168', '29.56193', '357.65046', '12.93245', '134.02013', '0.03976', '0.22191', '0.93068']}\n
{snapshot: 16:34:05, data: ['57.11383', '27.22403', '29.56236', '357.63185', '12.90713', '134.05999', '0.03928', '0.22264', '0.93287']}\n
{snapshot: 16:34:05, data: ['57.02234', '26.21213', '29.56294', '357.67134', '12.87507', '134.13766', '0.03928', '0.22216', '0.93433']}\n
{snapshot: 16:34:06, data: ['57.00405', '27.12188', '29.56228', '357.6456', '12.80633', '134.1967', '0.04097', '0.22118', '0.93531']}\n
{snapshot: 16:34:07, data: ['57.11383', '27.36129', '29.56164', '357.63977', '12.80308', '134.21372', '0.04097', '0.22118', '0.93287']}\n
{snapshot: 16:34:07, data: ['56.78448', '27.48578', '29.56168', '357.61964', '12.81011', '134.2629', '0.03903', '0.22167', '0.93263']}\n
{snapshot: 16:34:08, data: ['56.93085', '27.32618', '29.56259', '357.63421', '12.85319', '134.27226', '0.04', '0.2224', '0.93458']}\n
{snapshot: 16:34:09, data: ['56.96745', '27.56239', '29.56238', '357.68934', '12.90356', '134.26899', '0.04049', '0.22118', '0.93506']}\n
{snapshot: 16:34:09, data: ['57.00405', '27.41875', '29.56217', '357.69939', '12.96352', '134.19228', '0.03976', '0.22143', '0.99721']}\n
{snapshot: 16:34:10, data: ['57.02234', '27.1538', '29.56187', '357.69012', '12.91137', '134.15889', '0.03976', '0.22118', '0.93409']}\n
{snapshot: 16:34:11, data: ['56.96745', '27.639', '29.56262', '357.64631', '12.92493', '134.08534', '0.03928', '0.22216', '0.99794']}\n
{snapshot: 16:34:12, data: ['56.89426', '27.45705', '29.56305', '357.63572', '12.8772', '134.06563', '0.03952', '0.22167', '0.93604']}\n
{snapshot: 16:34:12, data: ['56.83937', '27.8816', '29.56287', '357.64793', '12.86795', '134.05827', '0.03952', '0.22167', '0.93433']}\n
{snapshot: 16:34:13, data: ['56.82107', '27.45067', '29.56267', '357.69483', '12.85399', '134.1995', '0.04', '0.22167', '0.93433']}\n
{snapshot: 16:34:14, data: ['56.89426', '27.51132', '29.56277', '357.71812', '12.84997', '134.30917', '0.04', '0.22046', '0.93458']}\n
{snapshot: 16:34:14, data: ['56.82107', '27.63581', '29.56264', '357.72832', '12.81243', '134.33841', '0.04', '0.22191', '0.93628']}\n
{snapshot: 16:34:15, data: ['56.71129', '27.84011', '29.56303', '357.69031', '12.71996', '134.30109', '0.04049', '0.22216', '0.9358']}\n
{snapshot: 16:34:16, data: ['56.74788', '27.81776', '29.56334', '357.67488', '12.7207', '134.35438', '0.03879', '0.22216', '0.87341']}\n
