{snapshot: 12:00:56, data: ['64.61575', '29.42978', '29.72361', '3.2873', '5.2073', '184.67495', '-0.05233', '0.07842', '0.95748']}\n
{snapshot: 12:00:56, data: ['64.54256', '27.30383', '29.72222', '3.38485', '5.23267', '184.6641', '-0.05554', '0.07818', '0.95554']}\n
{snapshot: 12:00:57, data: ['64.63405', '28.14974', '29.72287', '3.41097', '5.29441', '184.69296', '-0.05208', '0.07769', '0.96163']}\n
{snapshot: 12:00:58, data: ['64.67065', '27.36129', '29.72309', '3.45148', '5.2523', '184.78393', '-0.05307', '0.08061', '0.95407']}\n
{snapshot: 12:00:59, data: ['64.67065', '27.30383', '29.72297', '3.41884', '5.23714', '184.80081', '-0.05677', '0.07794', '0.95432']}\n
{snapshot: 12:01:00, data: ['64.63405', '27.21764', '29.72384', '3.36902', '5.28044', '184.84216', '-0.05184', '0.08085', '0.95432']}\n
{snapshot: 12:01:00, data: ['64.61575', '27.09634', '29.72285', '3.389', '5.26516', '184.95609', '-0.05529', '0.07964', '0.95578']}\n
{snapshot: 12:01:01, data: ['64.67065', '26.88886', '29.72257', '3.39797', '5.21692', '184.95201', '-0.05282', '0.07915', '0.96163']}\n
{snapshot: 12:01:02, data: ['64.65235', '27.40917', '29.72323', '3.38188', '5.28609', '184.92063', '-0.0543', '0.07648', '0.95456']}\n
{snapshot: 12:01:03, data: ['64.63405', '27.20488', '29.7237', '3.33407', '5.22446', '184.89548', '-0.05406', '0.07964', '0.95261']}\n
{snapshot: 12:01:04, data: ['64.74384', '27.14103', '29.72345', '3.30267', '5.24391', '184.9684', '-0.05504', '0.07866', '0.95383']}\n
{snapshot: 12:01:05, data: ['64.63405', '28.06994', '29.72345', '3.33426', '5.31818', '184.9393', '-0.05282', '0.07818', '0.95359']}\n
{snapshot: 12:01:05, data: ['64.74384', '30.32356', '29.7236', '3.35002', '5.2962', '184.89852', '-0.0548', '0.07939', '0.9609']}\n
{snapshot: 12:01:06, data: ['64.65235', '26.2664', '29.72274', '3.35514', '5.2649', '184.82451', '-0.05208', '0.07818', '0.95968']}\n
{snapshot: 12:01:07, data: ['64.70724', '28.70517', '29.72303', '3.33503', '5.29536', '184.85921', '-0.0548', '0.08061', '0.9587']}\n
{snapshot: 12:01:08, data: ['64.68895', '26.85374', '29.72357', '3.32771', '5.2946', '184.95369', '-0.05159', '0.07939', '0.95895']}\n
{snapshot: 12:01:09, data: ['64.74384', '28.55514', '29.72336', '3.2965', '5.2978', '184.96882', '-0.05134', '0.07891', '0.95797']}\n
{snapshot: 12:01:09, data: ['64.68895', '27.08358', '29.72409', '3.3221', '5.27841', '184.99628', '-0.05677', '0.07964', '0.95627']}\n
{snapshot: 12:01:10, data: ['64.76213', '27.50174', '29.7238', '3.34222', '5.29481', '185.00524', '-0.05381', '0.07964', '0.95359']}\n
{snapshot: 12:01:11, data: ['64.72554', '27.48897', '29.72374', '3.36138', '5.33038', '185.02069', '-0.05727', '0.07988', '0.957']}\n
{snapshot: 12:01:12, data: ['64.72554', '27.6007', '29.72296', '3.37762', '5.28491', '184.98838', '-0.05702', '0.07891', '0.957']}\n
{snapshot: 12:01:13, data: ['64.83532', '27.32298', '29.72414', '3.47025', '5.26214', '184.99792', '-0.05332', '0.07794', '0.96065']}\n
{snapshot: 12:01:13, data: ['64.74384', '27.69646', '29.72394', '3.44898', '5.26634', '184.98636', '-0.05554', '0.07891', '0.95285']}\n
{snapshot: 12:01:14, data: ['64.70724', '27.33575', '29.72366', '3.43028', '5.32805', '184.96558', '-0.05307', '0.07891', '0.95115']}\n
{snapshot: 12:01:15, data: ['64.79873', '27.33256', '29.72378', '3.43659', '5.29189', '184.98355', '-0.05356', '0.07964', '0.96114']}\n
{snapshot: 12:01:16, data: ['64.78043', '27.34852', '29.72395', '3.45154', '5.26481', '184.91499', '-0.05233', '0.07818', '0.9531']}\n
{snapshot: 12:01:17, data: ['64.76213', '27.1538', '29.72372', '3.4572', '5.25182', '184.93158', '-0.05258', '0.07866', '0.96114']}\n
{snapshot: 12:01:18, data: ['64.78043', '27.46344', '29.72387', '3.40272', '5.30028', '184.95054', '-0.05603', '0.07769', '0.95383']}\n
{snapshot: 12:01:18, data: ['64.76213', '26.0621', '29.72367', '3.37207', '5.2738', '184.93822', '-0.05578', '0.07915', '0.95334']}\n
{snapshot: 12:01:19, data: ['64.76213', '27.18572', '29.72331', '3.39641', '5.32199', '184.9809', '-0.05727', '0.07866', '0.95748']}\n
