{snapshot: 22:40:00, data: ['48.42257', '38.39321', '29.84879', '359.40618', '4.1882', '177.79209', '0.01552', '0.09056', '0.94652']}\n
{snapshot: 22:40:01, data: ['48.45917', '38.51132', '29.84889', '359.37392', '4.05464', '177.81452', '0.01212', '0.08765', '0.94384']}\n
{snapshot: 22:40:02, data: ['48.31279', '39.06994', '29.84895', '359.35315', '4.02905', '177.82045', '0.016', '0.08959', '0.94676']}\n
{snapshot: 22:40:03, data: ['48.45917', '38.32298', '29.8483', '359.38684', '4.04024', '177.82984', '0.01382', '0.09202', '0.94359']}\n
{snapshot: 22:40:03, data: ['48.47747', '38.43471', '29.84815', '359.41153', '4.05172', '177.80814', '0.01358', '0.09056', '0.94408']}\n
{snapshot: 22:40:04, data: ['48.36768', '38.25914', '29.84882', '359.42992', '4.03551', '177.75924', '0.01382', '0.09008', '0.94506']}\n
{snapshot: 22:40:05, data: ['48.38598', '39.49449', '29.84958', '359.50688', '4.06309', '177.742', '0.01527', '0.08983', '0.94335']}\n
{snapshot: 22:40:06, data: ['48.34938', '38.14742', '29.84882', '359.51918', '4.03405', '177.73164', '0.01333', '0.08983', '0.94384']}\n
{snapshot: 22:40:06, data: ['48.42257', '38.49216', '29.84848', '359.51204', '4.05737', '177.72255', '0.01358', '0.09008', '0.94506']}\n
{snapshot: 22:40:07, data: ['48.31279', '39.15932', '29.84877', '359.48798', '4.01024', '177.7012', '0.01455', '0.08983', '0.94554']}\n
{snapshot: 22:40:08, data: ['48.40428', '38.4794', '29.84871', '359.45926', '4.03475', '177.66001', '0.01285', '0.09032', '0.94554']}\n
{snapshot: 22:40:08, data: ['48.2762', '38.13784', '29.84875', '359.44164', '4.04444', '177.65564', '0.01333', '0.08983', '0.94652']}\n
{snapshot: 22:40:09, data: ['48.2396', '38.49855', '29.84885', '359.38207', '4.02068', '177.56743', '0.01455', '0.09105', '0.9531']}\n
{snapshot: 22:40:10, data: ['48.18471', '38.2336', '29.84939', '359.41553', '3.97208', '177.52929', '0.01406', '0.08886', '0.9492']}\n
{snapshot: 22:40:11, data: ['48.203', '35.53947', '29.84923', '359.41895', '4.0183', '177.50929', '0.01382', '0.09008', '0.95091']}\n
{snapshot: 22:40:12, data: ['48.18471', '38.36768', '29.84856', '359.43611', '3.98855', '177.50707', '0.01333', '0.08959', '0.94774']}\n
{snapshot: 22:40:12, data: ['48.2213', '38.639', '29.84926', '359.43824', '3.9798', '177.50548', '0.0143', '0.09105', '0.94944']}\n
{snapshot: 22:40:13, data: ['48.33109', '38.54005', '29.84917', '359.44551', '3.94955', '177.48486', '0.01479', '0.08935', '0.94847']}\n
{snapshot: 22:40:14, data: ['48.2762', '39.63494', '29.84778', '359.47683', '3.98282', '177.45976', '0.01261', '0.0908', '0.95066']}\n
