{snapshot: 17:43:16, data: ['55.74153', '31.18224', '29.57996', '357.45363', '12.96283', '133.82898', '0.04364', '0.219', '0.93409']}\n
{snapshot: 17:43:17, data: ['55.66834', '31.29716', '29.58', '357.45751', '12.96112', '133.79274', '0.04122', '0.21948', '0.87341']}\n
{snapshot: 17:43:18, data: ['55.79642', '31.43122', '29.57974', '357.46773', '12.9519', '133.744', '0.04122', '0.21754', '0.93238']}\n
{snapshot: 17:43:18, data: ['55.72323', '31.81428', '29.57998', '357.43022', '12.9472', '133.72637', '0.04194', '0.21948', '0.93238']}\n
{snapshot: 17:43:19, data: ['55.63174', '31.26524', '29.58026', '357.46296', '12.98284', '133.68534', '0.0417', '0.21876', '0.93506']}\n
{snapshot: 17:43:20, data: ['55.85131', '33.30819', '29.58067', '357.4547', '13.01342', '133.59391', '0.04316', '0.21851', '0.9319']}\n
{snapshot: 17:43:21, data: ['55.61344', '31.20459', '29.58114', '357.4651', '12.99773', '133.62262', '0.04267', '0.21973', '0.9336']}\n
{snapshot: 17:43:21, data: ['55.70493', '31.3195', '29.58076', '357.43093', '13.02635', '133.63021', '0.04291', '0.21851', '0.93409']}\n
{snapshot: 17:43:22, data: ['55.74153', '31.11201', '29.58058', '357.4135', '13.06867', '133.59681', '0.04267', '0.2173', '0.93506']}\n
{snapshot: 17:43:23, data: ['55.63174', '31.63871', '29.58021', '357.40645', '13.10155', '133.52928', '0.04267', '0.21851', '0.93604']}\n
{snapshot: 17:43:24, data: ['55.68663', '31.21735', '29.58023', '357.38648', '13.10561', '133.47255', '0.0417', '0.21997', '0.93385']}\n
{snapshot: 17:43:24, data: ['55.59515', '31.1184', '29.58044', '357.43183', '13.06093', '133.41082', '0.04316', '0.21851', '0.93409']}\n
{snapshot: 17:43:25, data: ['55.59515', '31.79513', '29.58025', '357.47343', '13.07346', '133.40495', '0.0417', '0.21924', '0.9336']}\n
{snapshot: 17:43:26, data: ['55.65004', '31.35781', '29.58026', '357.42881', '13.03249', '133.32883', '0.04194', '0.21803', '0.93458']}\n
{snapshot: 17:43:26, data: ['55.50366', '31.54295', '29.58073', '357.42977', '13.02097', '133.32349', '0.04388', '0.21851', '0.93092']}\n
{snapshot: 17:43:27, data: ['55.55855', '30.9141', '29.58167', '357.43629', '12.99905', '133.2754', '0.04291', '0.21827', '0.93263']}\n
{snapshot: 17:43:28, data: ['55.57685', '31.62594', '29.58185', '357.38475', '13.00233', '133.32532', '0.04291', '0.219', '0.93263']}\n
{snapshot: 17:43:28, data: ['55.52196', '31.79513', '29.58176', '357.38413', '13.02757', '133.38422', '0.04267', '0.21803', '0.93385']}\n
{snapshot: 17:43:29, data: ['55.43047', '31.62275', '29.58178', '357.39764', '13.00946', '133.36198', '0.04291', '0.21754', '0.93165']}\n
{snapshot: 17:43:30, data: ['55.52196', '31.78874', '29.58212', '357.39311', '13.01291', '133.33158', '0.04243', '0.21876', '0.93043']}\n
{snapshot: 17:43:31, data: ['55.33898', '31.71213', '29.58225', '357.40455', '13.03054', '133.3683', '0.04243', '0.219', '0.92946']}\n
{snapshot: 17:43:31, data: ['55.37558', '31.61637', '29.58149', '357.36144', '12.96702', '133.33565', '0.04291', '0.21876', '0.92775']}\n
{snapshot: 17:43:32, data: ['55.37558', '31.42803', '29.58095', '357.36337', '12.93845', '133.40877', '0.04194', '0.219', '0.9297']}\n
{snapshot: 17:43:33, data: ['55.35728', '32.90917', '29.58202', '357.37667', '12.91139', '133.46407', '0.04219', '0.21948', '0.9297']}\n
{snapshot: 17:43:33, data: ['55.28409', '32.64742', '29.58248', '357.42047', '12.87121', '133.47389', '0.04194', '0.21778', '0.93141']}\n
{snapshot: 17:43:34, data: ['55.1926', '32.84214', '29.58185', '357.39208', '12.82032', '133.52185', '0.04267', '0.21851', '0.93141']}\n
{snapshot: 17:43:35, data: ['55.2475', '31.4408', '29.58115', '357.37853', '12.77503', '133.53583', '0.04267', '0.21876', '0.93019']}\n
{snapshot: 17:43:35, data: ['55.17431', '31.45676', '29.58166', '357.33917', '12.76776', '133.45996', '0.04388', '0.21851', '0.93165']}\n
{snapshot: 17:43:36, data: ['55.32069', '31.65467', '29.58164', '357.30697', '12.77761', '133.45444', '0.04219', '0.219', '0.93263']}\n
{snapshot: 17:43:37, data: ['55.39388', '31.48549', '29.58158', '357.27045', '12.79921', '133.4483', '0.04316', '0.21924', '0.9319']}\n
{snapshot: 17:43:38, data: ['55.35728', '30.37783', '29.58202', '357.3046', '12.83669', '133.35', '0.04122', '0.219', '0.93263']}\n
{snapshot: 17:43:38, data: ['55.26579', '31.66425', '29.58191', '357.29669', '12.81605', '133.30472', '0.04413', '0.2173', '0.93141']}\n
{snapshot: 17:43:39, data: ['55.2292', '30.76407', '29.58115', '357.22737', '12.82175', '133.25905', '0.04291', '0.21827', '0.93263']}\n
{snapshot: 17:43:40, data: ['55.28409', '31.44399', '29.58152', '357.23754', '12.86667', '133.19906', '0.04243', '0.21851', '0.93043']}\n
{snapshot: 17:43:40, data: ['55.11942', '32.33459', '29.5823', '357.24796', '12.87549', '133.19376', '0.04291', '0.21851', '0.93141']}\n
{snapshot: 17:43:41, data: ['55.26579', '32.06326', '29.58106', '357.19973', '12.87605', '133.23806', '0.04267', '0.21778', '0.9319']}\n
{snapshot: 17:43:42, data: ['55.30239', '31.43761', '29.58073', '357.253', '12.77945', '133.20613', '0.04219', '0.2173', '0.9336']}\n
{snapshot: 17:43:43, data: ['55.30239', '31.45996', '29.58117', '357.23828', '12.80189', '133.20708', '0.04316', '0.21754', '0.93287']}\n
{snapshot: 17:43:43, data: ['55.33898', '31.44719', '29.58065', '357.26004', '12.86645', '133.23187', '0.04388', '0.21851', '0.93238']}\n
{snapshot: 17:43:44, data: ['55.30239', '31.47592', '29.58109', '357.25731', '12.87525', '133.30065', '0.04461', '0.21924', '0.93287']}\n
{snapshot: 17:43:45, data: ['55.30239', '31.65148', '29.58101', '357.26327', '12.8211', '133.3392', '0.04364', '0.21876', '0.93409']}\n
{snapshot: 17:43:45, data: ['55.43047', '31.33546', '29.5815', '357.27485', '12.81741', '133.3324', '0.04243', '0.21827', '0.93287']}\n
{snapshot: 17:43:46, data: ['55.44877', '30.72258', '29.58172', '357.21255', '12.83547', '133.36924', '0.04267', '0.21876', '0.93409']}\n
{snapshot: 17:43:47, data: ['55.39388', '31.74086', '29.5809', '357.23205', '12.82754', '133.34384', '0.0417', '0.219', '0.9336']}\n
{snapshot: 17:43:48, data: ['55.48536', '31.60998', '29.58083', '357.20697', '12.88035', '133.30968', '0.04243', '0.21803', '0.93336']}\n
{snapshot: 17:43:48, data: ['55.35728', '31.09605', '29.58101', '357.1642', '12.84319', '133.26072', '0.04243', '0.21803', '0.93433']}\n
{snapshot: 17:43:49, data: ['55.50366', '31.5621', '29.58096', '357.18639', '12.87116', '133.21458', '0.04364', '0.21754', '0.93287']}\n
{snapshot: 17:43:50, data: ['55.55855', '28.9733', '29.58018', '357.1981', '12.87401', '133.1322', '0.04364', '0.21851', '0.93458']}\n
{snapshot: 17:43:50, data: ['55.48536', '31.37696', '29.58023', '357.21582', '12.82425', '133.05972', '0.04243', '0.21851', '0.93336']}\n
{snapshot: 17:43:51, data: ['55.48536', '31.58445', '29.58079', '357.23003', '12.78853', '133.1495', '0.04291', '0.21876', '0.93336']}\n
{snapshot: 17:43:52, data: ['55.50366', '30.45444', '29.58027', '357.23028', '12.83678', '133.23522', '0.04364', '0.21827', '0.87463']}\n
{snapshot: 17:43:53, data: ['55.44877', '28.94457', '29.58047', '357.25795', '12.96074', '133.18336', '0.04267', '0.21803', '0.93555']}\n
{snapshot: 17:43:53, data: ['55.48536', '32.27713', '29.58081', '357.29462', '12.94342', '133.25702', '0.04267', '0.21973', '0.93312']}\n
{snapshot: 17:43:54, data: ['55.52196', '30.8343', '29.58018', '357.32767', '12.93701', '133.27886', '0.04291', '0.21803', '0.93312']}\n
{snapshot: 17:43:55, data: ['55.57685', '31.43122', '29.58003', '357.31841', '12.8732', '133.27043', '0.04291', '0.21827', '0.93214']}\n
{snapshot: 17:43:55, data: ['55.61344', '31.34504', '29.58032', '357.3253', '12.96487', '133.29799', '0.04267', '0.21851', '0.9336']}\n
{snapshot: 17:43:56, data: ['55.54025', '32.72403', '29.58044', '357.33188', '13.01863', '133.43899', '0.04219', '0.21876', '0.93263']}\n
{snapshot: 17:43:57, data: ['55.66834', '30.83749', '29.58063', '357.31215', '13.06362', '133.47733', '0.0434', '0.2173', '0.93628']}\n
{snapshot: 17:43:58, data: ['55.54025', '31.65148', '29.58032', '357.36912', '12.99237', '133.50092', '0.04388', '0.21851', '0.93628']}\n
{snapshot: 17:43:58, data: ['55.61344', '31.6036', '29.57938', '357.36461', '13.04441', '133.5446', '0.04316', '0.21997', '0.93531']}\n
{snapshot: 17:43:59, data: ['55.59515', '33.49333', '29.57963', '357.34558', '13.02076', '133.5829', '0.04219', '0.21778', '0.93238']}\n
{snapshot: 17:44:00, data: ['55.65004', '31.36738', '29.58055', '357.32445', '12.94282', '133.55945', '0.04291', '0.21851', '0.8739']}\n
{snapshot: 17:44:00, data: ['55.61344', '32.63146', '29.5798', '357.34435', '12.91538', '133.53263', '0.04194', '0.21803', '0.93555']}\n
{snapshot: 17:44:01, data: ['55.72323', '31.47592', '29.5797', '357.34742', '12.97168', '133.46527', '0.04267', '0.21851', '0.93677']}\n
{snapshot: 17:44:02, data: ['55.75982', '31.45996', '29.58028', '357.35314', '12.99383', '133.48832', '0.04413', '0.21876', '0.93677']}\n
{snapshot: 17:44:02, data: ['55.68663', '31.04498', '29.58035', '357.35425', '12.99537', '133.44979', '0.04194', '0.21851', '0.93482']}\n
{snapshot: 17:44:03, data: ['55.68663', '31.38334', '29.58051', '357.31222', '13.00163', '133.43835', '0.04122', '0.21876', '0.93336']}\n
{snapshot: 17:44:04, data: ['55.72323', '31.47272', '29.58031', '357.29907', '12.98683', '133.34544', '0.04364', '0.21948', '0.93628']}\n
{snapshot: 17:44:05, data: ['55.72323', '31.37057', '29.57984', '357.27395', '12.93955', '133.34614', '0.0417', '0.21851', '0.93506']}\n
{snapshot: 17:44:05, data: ['55.61344', '31.67063', '29.5798', '357.29281', '12.94555', '133.29719', '0.04267', '0.2173', '0.93263']}\n
{snapshot: 17:44:06, data: ['55.55855', '31.53337', '29.58003', '357.25623', '12.95001', '133.15963', '0.04316', '0.21876', '0.93433']}\n
{snapshot: 17:44:07, data: ['55.61344', '29.73941', '29.58056', '357.31591', '12.91549', '133.07859', '0.04243', '0.21876', '0.93506']}\n
{snapshot: 17:44:07, data: ['55.63174', '31.34185', '29.58064', '357.32163', '12.92695', '133.03017', '0.0434', '0.21803', '0.93482']}\n
{snapshot: 17:44:08, data: ['55.54025', '31.1599', '29.58017', '357.34586', '12.97274', '133.06927', '0.04291', '0.21851', '0.93726']}\n
{snapshot: 17:44:09, data: ['55.57685', '30.23099', '29.58037', '357.37329', '12.985', '132.98841', '0.0417', '0.21803', '0.93506']}\n
{snapshot: 17:44:10, data: ['55.57685', '33.37522', '29.5806', '357.35545', '12.9698', '133.00172', '0.04316', '0.21803', '0.93482']}\n
{snapshot: 17:44:10, data: ['55.63174', '31.00987', '29.5804', '357.35085', '13.00116', '132.99811', '0.04267', '0.21827', '0.93312']}\n
