{snapshot: 20:12:05, data: ['64.68895', '27.28468', '29.83655', '358.48446', '3.13957', '164.25232', '0.01091', '-0.04101', '0.957']}\n
{snapshot: 20:12:06, data: ['64.74384', '29.96605', '29.83617', '358.57048', '2.80281', '164.06799', '0.01164', '-0.0386', '0.95724']}\n
{snapshot: 20:12:07, data: ['64.79873', '27.19211', '29.83711', '358.60467', '2.57113', '163.83993', '0.00897', '-0.04077', '0.96114']}\n
{snapshot: 20:12:07, data: ['64.74384', '27.1123', '29.83724', '358.67223', '2.30325', '163.68304', '0.01139', '-0.04004', '0.95822']}\n
{snapshot: 20:12:08, data: ['64.87192', '27.27191', '29.83715', '358.7156', '2.12785', '163.53482', '0.01164', '-0.03884', '0.95919']}\n
{snapshot: 20:12:09, data: ['64.76213', '27.16976', '29.83784', '358.76496', '1.94655', '163.4449', '0.01285', '-0.03908', '0.957']}\n
{snapshot: 20:12:10, data: ['64.83532', '27.25595', '29.83842', '358.79576', '1.83475', '163.35989', '0.00946', '-0.03474', '0.95432']}\n
{snapshot: 20:12:10, data: ['64.68895', '26.97504', '29.83764', '358.79', '1.61602', '163.18184', '0.01673', '-0.03691', '0.95432']}\n
{snapshot: 20:12:11, data: ['64.74384', '27.10592', '29.83798', '358.80804', '1.5032', '163.15654', '0.00145', '-0.04221', '0.95675']}\n
{snapshot: 20:12:12, data: ['64.78043', '27.27829', '29.83758', '358.85651', '1.37202', '162.99277', '0.02085', '-0.04197', '0.95554']}\n
{snapshot: 20:12:13, data: ['64.74384', '27.28149', '29.83687', '358.82078', '1.22805', '162.94773', '0.01527', '-0.03691', '0.96041']}\n
{snapshot: 20:12:14, data: ['64.89022', '23.6776', '29.83734', '358.93549', '1.09477', '162.83604', '0.01115', '-0.03811', '0.96041']}\n
{snapshot: 20:12:14, data: ['64.87192', '26.93355', '29.83818', '358.91381', '1.01353', '162.71031', '0.00946', '-0.03835', '0.9587']}\n
{snapshot: 20:12:15, data: ['64.79873', '28.13059', '29.83762', '358.93814', '1.01679', '162.59528', '0.01212', '-0.0386', '0.96041']}\n
{snapshot: 20:12:16, data: ['64.79873', '27.31341', '29.83692', '358.92341', '0.95667', '162.57607', '0.01261', '-0.03932', '0.95895']}\n
{snapshot: 20:12:17, data: ['64.79873', '27.12507', '29.83729', '358.93643', '0.86093', '162.48162', '0.0143', '-0.03956', '0.95968']}\n
{snapshot: 20:12:18, data: ['64.76213', '27.16019', '29.83714', '358.93302', '0.6987', '162.3841', '0.01043', '-0.04028', '0.95992']}\n
{snapshot: 20:12:18, data: ['64.83532', '26.61434', '29.83691', '358.97712', '0.61108', '162.32554', '0.01261', '-0.0398', '0.95822']}\n
{snapshot: 20:12:19, data: ['64.74384', '27.49536', '29.83727', '359.01167', '0.52209', '162.25235', '0.01285', '-0.04101', '0.9587']}\n
{snapshot: 20:12:20, data: ['64.72554', '27.00377', '29.83724', '359.01083', '0.38839', '162.27314', '0.01091', '-0.04028', '0.95895']}\n
{snapshot: 20:12:21, data: ['64.79873', '27.34533', '29.83683', '358.9856', '0.35006', '162.29221', '0.01164', '-0.04125', '0.95627']}\n
{snapshot: 20:12:21, data: ['64.78043', '27.05165', '29.83686', '359.01483', '0.30902', '162.30339', '0.01261', '-0.0398', '0.96309']}\n
{snapshot: 20:12:22, data: ['64.85362', '27.44428', '29.83691', '359.06209', '0.29337', '162.25532', '0.01212', '-0.04028', '0.95846']}\n
{snapshot: 20:12:23, data: ['64.79873', '27.09315', '29.83697', '359.07174', '0.30667', '162.19044', '0.01067', '-0.04004', '0.95968']}\n
{snapshot: 20:12:24, data: ['64.85362', '28.04121', '29.83688', '359.10388', '0.28158', '162.16784', '0.01236', '-0.03932', '0.95724']}\n
{snapshot: 20:12:24, data: ['64.83532', '27.50493', '29.83737', '359.12789', '0.25607', '162.12062', '0.01212', '-0.03908', '0.96065']}\n
{snapshot: 20:12:25, data: ['64.81702', '27.83691', '29.83786', '359.16387', '0.19785', '162.09274', '0.01067', '-0.03956', '0.95797']}\n
{snapshot: 20:12:26, data: ['64.81702', '27.86883', '29.83741', '359.14986', '0.18865', '162.13652', '0.01261', '-0.04028', '0.96017']}\n
{snapshot: 20:12:27, data: ['64.76213', '34.62014', '29.8373', '359.12329', '0.11618', '162.11886', '0.01139', '-0.03956', '0.95822']}\n
{snapshot: 20:12:28, data: ['64.78043', '27.30383', '29.83675', '359.1539', '0.16553', '162.11843', '0.01139', '-0.0386', '0.9609']}\n
{snapshot: 20:12:28, data: ['64.83532', '27.10592', '29.83695', '359.21765', '0.16077', '162.07917', '0.01285', '-0.04101', '0.95968']}\n
{snapshot: 20:12:29, data: ['64.89022', '27.58154', '29.83781', '359.25744', '0.14303', '162.07697', '0.01188', '-0.03908', '0.96236']}\n
{snapshot: 20:12:30, data: ['64.85362', '27.24957', '29.8375', '359.26507', '0.12562', '162.03885', '0.01236', '-0.04004', '0.95968']}\n
{snapshot: 20:12:31, data: ['64.92681', '27.15061', '29.83719', '359.34587', '0.03124', '162.03367', '0.01164', '-0.04101', '0.95968']}\n
{snapshot: 20:12:31, data: ['64.87192', '27.3549', '29.83729', '359.32519', '359.95941', '161.989', '0.01212', '-0.03956', '0.95822']}\n
{snapshot: 20:12:32, data: ['64.94511', '27.06762', '29.83741', '359.31601', '359.92601', '161.95719', '0.01139', '-0.04077', '0.96017']}\n
{snapshot: 20:12:33, data: ['64.85362', '27.36129', '29.83794', '359.32171', '359.87927', '161.9109', '0.01091', '-0.03932', '0.9626']}\n
{snapshot: 20:12:34, data: ['64.87192', '27.06442', '29.83721', '359.30984', '0.00084', '161.96697', '0.01236', '-0.03956', '0.95724']}\n
{snapshot: 20:12:34, data: ['64.89022', '27.18253', '29.83748', '359.28593', '359.995', '161.95092', '0.01333', '-0.0398', '0.95846']}\n
{snapshot: 20:12:35, data: ['64.79873', '27.27829', '29.83804', '359.29602', '359.99216', '161.98508', '0.01212', '-0.04149', '0.96114']}\n
{snapshot: 20:12:36, data: ['64.81702', '27.21126', '29.8382', '359.35502', '359.97473', '161.96478', '0.01115', '-0.04149', '0.95919']}\n
{snapshot: 20:12:37, data: ['64.87192', '27.33575', '29.83755', '359.35811', '359.96822', '162.00123', '0.01164', '-0.03884', '0.96212']}\n
{snapshot: 20:12:37, data: ['65.0', '27.12827', '29.83732', '359.31576', '359.97516', '161.98757', '0.01285', '-0.0398', '0.96114']}\n
{snapshot: 20:12:38, data: ['64.9817', '26.89843', '29.83707', '359.31451', '0.01039', '162.02545', '0.01236', '-0.03956', '0.96138']}\n
{snapshot: 20:12:39, data: ['64.92681', '27.74115', '29.83706', '359.28373', '0.03373', '162.02129', '0.01164', '-0.04004', '0.95724']}\n
{snapshot: 20:12:40, data: ['64.87192', '27.08677', '29.83707', '359.33472', '0.04961', '161.99113', '0.01212', '-0.04101', '0.95895']}\n
{snapshot: 20:12:40, data: ['64.94511', '27.67092', '29.8371', '359.39148', '0.04915', '161.8695', '0.01139', '-0.04101', '0.95846']}\n
{snapshot: 20:12:41, data: ['64.89022', '26.97504', '29.83764', '359.38629', '0.08035', '161.86126', '0.01067', '-0.04077', '0.96017']}\n
{snapshot: 20:12:42, data: ['64.90851', '27.29106', '29.83761', '359.33595', '0.11124', '161.84626', '0.01043', '-0.04004', '0.95943']}\n
{snapshot: 20:12:43, data: ['64.85362', '27.08038', '29.83768', '359.35734', '0.12241', '161.82654', '0.00946', '-0.04053', '0.96114']}\n
{snapshot: 20:12:44, data: ['64.87192', '27.27829', '29.83746', '359.3454', '0.07375', '161.79328', '0.01164', '-0.04125', '0.95943']}\n
{snapshot: 20:12:44, data: ['64.9817', '27.15061', '29.83775', '359.35317', '0.04496', '161.77121', '0.00994', '-0.04004', '0.9587']}\n
{snapshot: 20:12:45, data: ['64.94511', '27.30064', '29.83744', '359.36865', '0.04069', '161.8405', '0.01043', '-0.03908', '0.95895']}\n
{snapshot: 20:12:46, data: ['64.81702', '27.00377', '29.83709', '359.34692', '359.98641', '161.89367', '0.0097', '-0.03908', '0.95773']}\n
