{snapshot: 10:43:13, data: ['64.24981', '26.64626', '29.75971', '3.83245', '5.44734', '185.43103', '-0.05677', '0.07891', '0.95359']}\n
{snapshot: 10:43:14, data: ['64.10343', '29.8224', '29.76021', '3.7987', '5.49155', '185.33508', '-0.05332', '0.07672', '0.96017']}\n
{snapshot: 10:43:15, data: ['64.15832', '28.09867', '29.75962', '3.64903', '5.5547', '185.26822', '-0.05603', '0.07964', '0.95456']}\n
{snapshot: 10:43:15, data: ['64.2681', '26.74841', '29.75951', '3.65503', '5.46522', '185.24003', '-0.05258', '0.07697', '0.957']}\n
{snapshot: 10:43:16, data: ['64.14002', '25.58329', '29.76092', '3.56427', '5.44691', '185.22607', '-0.05554', '0.07697', '0.95285']}\n
{snapshot: 10:43:17, data: ['64.15832', '26.94632', '29.75976', '3.49845', '5.35729', '185.25307', '-0.05677', '0.07769', '0.95188']}\n
{snapshot: 10:43:18, data: ['64.19492', '27.10592', '29.75902', '3.50757', '5.40999', '185.27443', '-0.05455', '0.07745', '0.95359']}\n
{snapshot: 10:43:19, data: ['64.17662', '26.87928', '29.75876', '3.51741', '5.42462', '185.28166', '-0.05258', '0.07769', '0.95432']}\n
{snapshot: 10:43:20, data: ['64.15832', '26.7516', '29.75945', '3.43754', '5.43228', '185.30846', '-0.05233', '0.07842', '0.9587']}\n
{snapshot: 10:43:20, data: ['64.24981', '28.0061', '29.75982', '3.41865', '5.4362', '185.28907', '-0.05184', '0.07745', '0.96236']}\n
{snapshot: 10:43:21, data: ['64.24981', '26.70372', '29.75963', '3.39502', '5.39754', '185.16845', '-0.0548', '0.07939', '0.95748']}\n
{snapshot: 10:43:22, data: ['64.15832', '32.92513', '29.7592', '3.34954', '5.42655', '185.12357', '-0.05258', '0.07769', '0.95602']}\n
{snapshot: 10:43:23, data: ['64.17662', '26.72606', '29.75898', '3.34403', '5.46433', '185.1703', '-0.05011', '0.07697', '0.95968']}\n
{snapshot: 10:43:24, data: ['64.2864', '26.1419', '29.7581', '3.36286', '5.53586', '185.23144', '-0.0548', '0.07721', '0.96017']}\n
{snapshot: 10:43:25, data: ['64.12173', '26.80586', '29.75865', '3.35736', '5.55237', '185.17669', '-0.05628', '0.07697', '0.95407']}\n
{snapshot: 10:43:25, data: ['64.08513', '24.21387', '29.75962', '3.29131', '5.58028', '185.30048', '-0.05282', '0.07769', '0.957']}\n
{snapshot: 10:43:26, data: ['64.39619', '31.45038', '29.75961', '3.28321', '5.56787', '185.30746', '-0.05208', '0.07842', '0.95432']}\n
{snapshot: 10:43:27, data: ['64.17662', '26.67179', '29.7588', '3.29031', '5.54631', '185.34376', '-0.05554', '0.07842', '0.95407']}\n
{snapshot: 10:43:28, data: ['64.15832', '26.60157', '29.7583', '3.25481', '5.49749', '185.48559', '-0.05381', '0.07939', '0.94871']}\n
{snapshot: 10:43:29, data: ['64.19492', '26.48985', '29.75943', '3.26264', '5.50611', '185.47468', '-0.0548', '0.08036', '0.9548']}\n
{snapshot: 10:43:29, data: ['64.23151', '26.85374', '29.75958', '3.23528', '5.52697', '185.53051', '-0.05702', '0.07866', '0.95334']}\n
{snapshot: 10:43:30, data: ['64.17662', '26.53773', '29.75878', '3.17523', '5.49634', '185.51987', '-0.05282', '0.07915', '0.9587']}\n
{snapshot: 10:43:31, data: ['64.12173', '25.86419', '29.75895', '3.191', '5.49247', '185.47741', '-0.0506', '0.08061', '0.9587']}\n
{snapshot: 10:43:32, data: ['64.21321', '26.63668', '29.75964', '3.17428', '5.50109', '185.40209', '-0.05455', '0.07964', '0.9531']}\n
{snapshot: 10:43:33, data: ['64.17662', '26.57603', '29.75949', '3.06887', '5.45883', '185.38847', '-0.05455', '0.07866', '0.95992']}\n
{snapshot: 10:43:34, data: ['64.24981', '26.82502', '29.75887', '3.08425', '5.38756', '185.35999', '-0.05529', '0.07769', '0.95773']}\n
{snapshot: 10:43:34, data: ['64.06683', '26.82182', '29.75942', '3.07271', '5.41896', '185.38307', '-0.05208', '0.07794', '0.95237']}\n
{snapshot: 10:43:35, data: ['64.12173', '26.83778', '29.75948', '3.04777', '5.38955', '185.42898', '-0.05282', '0.07988', '0.95334']}\n
{snapshot: 10:43:36, data: ['64.01194', '26.67818', '29.75921', '3.01435', '5.49253', '185.44539', '-0.0548', '0.07866', '0.95895']}\n
{snapshot: 10:43:37, data: ['64.08513', '26.51219', '29.75969', '2.94657', '5.55975', '185.43639', '-0.0585', '0.07721', '0.95261']}\n
{snapshot: 10:43:38, data: ['64.04854', '26.78671', '29.76029', '2.95034', '5.57329', '185.47419', '-0.05381', '0.07866', '0.94944']}\n
{snapshot: 10:43:38, data: ['64.15832', '24.12449', '29.76001', '2.89693', '5.45779', '185.55872', '-0.05159', '0.07891', '0.95895']}\n
{snapshot: 10:43:39, data: ['64.15832', '28.66048', '29.75919', '2.87712', '5.44482', '185.55212', '-0.05134', '0.07891', '0.9531']}\n
{snapshot: 10:43:40, data: ['64.15832', '22.74231', '29.75972', '2.94639', '5.35041', '185.58269', '-0.05554', '0.08109', '0.95675']}\n
{snapshot: 10:43:41, data: ['64.14002', '23.24347', '29.75994', '3.03571', '5.32255', '185.64713', '-0.05307', '0.07964', '0.96017']}\n
{snapshot: 10:43:42, data: ['64.08513', '28.67644', '29.75981', '3.06544', '5.33674', '185.60688', '-0.05233', '0.07769', '0.95139']}\n
{snapshot: 10:43:42, data: ['64.01194', '25.7397', '29.75944', '3.09449', '5.29415', '185.69894', '-0.05554', '0.07964', '0.95066']}\n
