{snapshot: 15:12:10, data: ['59.4193', '27.01654', '29.58737', '358.08703', '11.94729', '133.56649', '0.03515', '0.23065', '0.92337']}\n
{snapshot: 15:12:10, data: ['59.52908', '22.55398', '29.58684', '358.02852', '11.93613', '133.50704', '0.03685', '0.22944', '0.92605']}\n
{snapshot: 15:12:11, data: ['59.36441', '25.92165', '29.58571', '358.09579', '11.98041', '133.54838', '0.03709', '0.23017', '0.92556']}\n
{snapshot: 15:12:12, data: ['59.25462', '25.72693', '29.58584', '358.08891', '11.94779', '133.52913', '0.03758', '0.23017', '0.92459']}\n
{snapshot: 15:12:12, data: ['59.25462', '25.16512', '29.58557', '358.09503', '11.96468', '133.50651', '0.03758', '0.2292', '0.92337']}\n
{snapshot: 15:12:13, data: ['59.16314', '25.56733', '29.58479', '358.10983', '11.97517', '133.45942', '0.03709', '0.23041', '0.92215']}\n
{snapshot: 15:12:14, data: ['59.30951', '25.85781', '29.58522', '358.16229', '12.00348', '133.42919', '0.03661', '0.23041', '0.92459']}\n
{snapshot: 15:12:15, data: ['59.21803', '25.44922', '29.58501', '358.20209', '12.02593', '133.43844', '0.03782', '0.23065', '0.92507']}\n
{snapshot: 15:12:15, data: ['59.29122', '25.50668', '29.58489', '358.205', '12.01076', '133.36769', '0.03734', '0.22847', '0.92678']}\n
{snapshot: 15:12:16, data: ['59.25462', '25.62798', '29.58521', '358.16341', '11.97411', '133.36133', '0.03685', '0.22847', '0.93068']}\n
{snapshot: 15:12:17, data: ['59.4193', '26.04933', '29.58508', '358.1787', '12.0026', '133.37405', '0.03831', '0.22968', '0.93141']}\n
{snapshot: 15:12:17, data: ['59.51079', '25.66628', '29.58514', '358.16805', '11.90304', '133.39583', '0.03709', '0.22895', '0.93385']}\n
{snapshot: 15:12:18, data: ['59.49249', '25.56733', '29.58519', '358.18143', '11.90299', '133.42739', '0.03806', '0.22944', '0.9336']}\n
{snapshot: 15:12:19, data: ['59.45589', '25.53221', '29.58542', '358.16998', '11.95743', '133.48173', '0.03685', '0.22895', '0.9336']}\n
{snapshot: 15:12:20, data: ['59.29122', '25.50668', '29.58579', '358.16881', '11.95392', '133.50095', '0.03758', '0.22823', '0.9319']}\n
{snapshot: 15:12:20, data: ['59.30951', '25.50348', '29.58587', '358.09849', '11.90298', '133.443', '0.03806', '0.22992', '0.93092']}\n
{snapshot: 15:12:21, data: ['59.51079', '26.56326', '29.58514', '358.10536', '11.90886', '133.40469', '0.03637', '0.2292', '0.93117']}\n
{snapshot: 15:12:22, data: ['59.45589', '25.49072', '29.58499', '358.08235', '11.88229', '133.43089', '0.03709', '0.23017', '0.93117']}\n
{snapshot: 15:12:23, data: ['59.29122', '25.38857', '29.5854', '358.10013', '11.89171', '133.39663', '0.03709', '0.2292', '0.93043']}\n
{snapshot: 15:12:23, data: ['59.19973', '24.93529', '29.58562', '358.12821', '11.88789', '133.37569', '0.03734', '0.2292', '0.92995']}\n
{snapshot: 15:12:24, data: ['59.21803', '25.4173', '29.58569', '358.07996', '11.94324', '133.3138', '0.03685', '0.22944', '0.9319']}\n
{snapshot: 15:12:25, data: ['59.10824', '25.19066', '29.58589', '358.06435', '11.94249', '133.26856', '0.03709', '0.23017', '0.92751']}\n
{snapshot: 15:12:25, data: ['59.03505', '25.96953', '29.58646', '358.0746', '11.92257', '133.20445', '0.03661', '0.22895', '0.92532']}\n
{snapshot: 15:12:26, data: ['59.12654', '25.42368', '29.58664', '358.10487', '11.90516', '133.19369', '0.03515', '0.22871', '0.92483']}\n
{snapshot: 15:12:27, data: ['58.96186', '25.60563', '29.58679', '358.14267', '11.83225', '133.10697', '0.03758', '0.23017', '0.92312']}\n
{snapshot: 15:12:28, data: ['58.83378', '25.03744', '29.58541', '358.20734', '11.82141', '133.09219', '0.03588', '0.23065', '0.92117']}\n
{snapshot: 15:12:28, data: ['58.81549', '25.65351', '29.58303', '358.23223', '11.78862', '133.09794', '0.03661', '0.2292', '0.92166']}\n
{snapshot: 15:12:29, data: ['58.7423', '25.95357', '29.58287', '358.26856', '11.75373', '133.06297', '0.03637', '0.23065', '0.91849']}\n
{snapshot: 15:12:30, data: ['58.55932', '25.44603', '29.584', '358.26454', '11.70589', '133.12853', '0.03564', '0.22992', '0.91947']}\n
{snapshot: 15:12:30, data: ['58.7057', '25.26088', '29.58358', '358.24224', '11.73226', '133.13616', '0.0354', '0.22944', '0.92288']}\n
{snapshot: 15:12:31, data: ['58.59592', '26.3462', '29.58266', '358.27331', '11.73609', '133.121', '0.03758', '0.23041', '0.9202']}\n
{snapshot: 15:12:32, data: ['58.63251', '25.62159', '29.58274', '358.27476', '11.68057', '133.0787', '0.03782', '0.22968', '0.92239']}\n
{snapshot: 15:12:33, data: ['58.61421', '25.64394', '29.58266', '358.29144', '11.62313', '133.08793', '0.0354', '0.23017', '0.92385']}\n
{snapshot: 15:12:33, data: ['58.57762', '25.54498', '29.58233', '358.31499', '11.60701', '133.09434', '0.0354', '0.22798', '0.92312']}\n
{snapshot: 15:12:34, data: ['58.52273', '25.11405', '29.58197', '358.33234', '11.63511', '133.06025', '0.03637', '0.22944', '0.92532']}\n
{snapshot: 15:12:35, data: ['58.48613', '25.72374', '29.58235', '358.33231', '11.63247', '133.04789', '0.03661', '0.22895', '0.92264']}\n
{snapshot: 15:12:35, data: ['58.48613', '25.44603', '29.58233', '358.3233', '11.5268', '133.01748', '0.03588', '0.22968', '0.92459']}\n
{snapshot: 15:12:36, data: ['58.63251', '24.4469', '29.58241', '358.25733', '11.50911', '133.06644', '0.03661', '0.23017', '0.92629']}\n
{snapshot: 15:12:37, data: ['58.52273', '25.44603', '29.5823', '358.28616', '11.4405', '133.1207', '0.03612', '0.22992', '0.92751']}\n
{snapshot: 15:12:37, data: ['58.61421', '25.84185', '29.58119', '358.2699', '11.38932', '133.11856', '0.03637', '0.2292', '0.92922']}\n
{snapshot: 15:12:38, data: ['58.63251', '25.65351', '29.5814', '358.23874', '11.39051', '133.08591', '0.03734', '0.22798', '0.9297']}\n
{snapshot: 15:12:39, data: ['58.55932', '28.23273', '29.58117', '358.23531', '11.42502', '133.09091', '0.03758', '0.23065', '0.92946']}\n
{snapshot: 15:12:40, data: ['58.59592', '25.42687', '29.58082', '358.23119', '11.48219', '133.10771', '0.03782', '0.22968', '0.93019']}\n
{snapshot: 15:12:40, data: ['58.57762', '25.778', '29.58155', '358.2061', '11.46668', '133.1105', '0.03734', '0.2292', '0.92727']}\n
{snapshot: 15:12:41, data: ['58.44954', '25.69501', '29.58155', '358.20954', '11.48892', '133.09693', '0.03661', '0.22944', '0.92459']}\n
{snapshot: 15:12:42, data: ['58.28486', '25.61521', '29.58134', '358.22471', '11.51696', '133.07748', '0.0354', '0.22895', '0.92727']}\n
{snapshot: 15:12:43, data: ['58.41294', '21.94748', '29.58132', '358.21001', '11.47888', '133.06749', '0.03685', '0.22895', '0.92727']}\n
{snapshot: 15:12:43, data: ['58.59592', '25.70139', '29.58099', '358.23948', '11.44498', '133.05341', '0.03637', '0.2292', '0.92897']}\n
{snapshot: 15:12:44, data: ['58.50443', '25.39814', '29.58084', '358.27301', '11.42435', '133.06064', '0.03709', '0.22823', '0.92434']}\n
