{snapshot: 21:00:04, data: ['66.90293', '25.62798', '29.84545', '359.37904', '358.83453', '162.20672', '0.01261', '-0.03884', '0.95627']}\n
{snapshot: 21:00:05, data: ['66.95782', '25.75885', '29.84549', '359.37841', '358.85633', '162.20325', '0.01261', '-0.0386', '0.95602']}\n
{snapshot: 21:00:06, data: ['66.88463', '25.4173', '29.84548', '359.29223', '358.80917', '162.21526', '0.01236', '-0.03908', '0.95895']}\n
{snapshot: 21:00:06, data: ['66.95782', '26.51219', '29.84509', '359.30554', '358.86247', '162.25863', '0.00946', '-0.03908', '0.96114']}\n
{snapshot: 21:00:07, data: ['66.90293', '25.76204', '29.84568', '359.29244', '358.89989', '162.24188', '0.01333', '-0.04125', '0.95188']}\n
{snapshot: 21:00:08, data: ['66.88463', '25.56094', '29.84492', '359.29122', '358.97823', '162.18765', '0.01164', '-0.03884', '0.95748']}\n
{snapshot: 21:00:09, data: ['66.86633', '25.70459', '29.84459', '359.32493', '358.97732', '162.13089', '0.01164', '-0.03884', '0.95846']}\n
{snapshot: 21:00:10, data: ['66.88463', '25.58329', '29.84564', '359.33401', '358.9968', '162.11868', '0.01018', '-0.0386', '0.95578']}\n
{snapshot: 21:00:10, data: ['66.90293', '24.00958', '29.84544', '359.32268', '358.95453', '162.08326', '0.01139', '-0.03908', '0.95846']}\n
{snapshot: 21:00:11, data: ['66.88463', '25.22258', '29.84567', '359.3366', '358.90376', '162.14265', '0.01164', '-0.03908', '0.95919']}\n
{snapshot: 21:00:12, data: ['66.79314', '23.99362', '29.84618', '359.34607', '358.83356', '162.16145', '0.01115', '-0.03884', '0.95846']}\n
{snapshot: 21:00:12, data: ['66.93952', '25.63436', '29.84591', '359.28796', '358.88326', '162.1466', '0.01261', '-0.03908', '0.9587']}\n
{snapshot: 21:00:13, data: ['66.99442', '25.8195', '29.8459', '359.2416', '358.88201', '162.12351', '0.01212', '-0.03884', '0.95822']}\n
{snapshot: 21:00:14, data: ['66.92123', '25.43007', '29.84571', '359.28669', '358.88998', '162.06945', '0.01067', '-0.03908', '0.95822']}\n
{snapshot: 21:00:15, data: ['66.95782', '30.148', '29.84563', '359.33168', '358.95737', '162.04717', '0.01212', '-0.0398', '0.95943']}\n
{snapshot: 21:00:15, data: ['66.97612', '25.80673', '29.84548', '359.28054', '358.96639', '162.0156', '0.01212', '-0.0398', '0.95773']}\n
