{snapshot: 09:53:14, data: ['61.74306', '28.87754', '29.76661', '3.15182', '4.5783', '183.45046', '-0.05529', '0.08061', '0.95285']}\n
{snapshot: 09:53:15, data: ['61.77966', '28.69559', '29.76655', '3.12652', '4.88043', '183.65229', '-0.05159', '0.07697', '0.96065']}\n
{snapshot: 09:53:16, data: ['61.70647', '29.10099', '29.76751', '3.08851', '5.0413', '183.77922', '-0.05332', '0.07842', '0.95895']}\n
{snapshot: 09:53:17, data: ['61.72477', '29.04353', '29.76738', '3.05278', '5.21172', '183.94701', '-0.05208', '0.07915', '0.96065']}\n
{snapshot: 09:53:18, data: ['61.72477', '28.95415', '29.76684', '3.04261', '5.38345', '184.07039', '-0.05628', '0.07915', '0.95651']}\n
{snapshot: 09:53:18, data: ['61.59669', '28.1242', '29.76605', '2.9806', '5.49264', '184.23714', '-0.05332', '0.07891', '0.95675']}\n
{snapshot: 09:53:19, data: ['61.76136', '28.74028', '29.76644', '2.88951', '5.58251', '184.36154', '-0.05727', '0.07794', '0.95456']}\n
{snapshot: 09:53:20, data: ['61.72477', '28.81051', '29.76712', '2.93386', '5.59393', '184.44641', '-0.05258', '0.07745', '0.9609']}\n
{snapshot: 09:53:21, data: ['61.76136', '28.81689', '29.76674', '2.91913', '5.70106', '184.52103', '-0.05233', '0.07721', '0.95383']}\n
{snapshot: 09:53:22, data: ['61.72477', '29.66918', '29.76651', '2.86396', '5.84637', '184.56393', '-0.05184', '0.07866', '0.95943']}\n
{snapshot: 09:53:22, data: ['61.70647', '29.18717', '29.76602', '2.83016', '5.87633', '184.65471', '-0.05727', '0.07721', '0.95797']}\n
{snapshot: 09:53:23, data: ['61.76136', '28.75624', '29.76583', '2.86279', '5.86354', '184.63866', '-0.05801', '0.07672', '0.95383']}\n
{snapshot: 09:53:24, data: ['61.83455', '30.49275', '29.76583', '2.87829', '5.95134', '184.67357', '-0.05307', '0.07697', '0.95456']}\n
{snapshot: 09:53:25, data: ['61.83455', '32.01857', '29.76635', '2.98012', '5.93125', '184.70322', '-0.05184', '0.07745', '0.95895']}\n
{snapshot: 09:53:26, data: ['61.79796', '30.56936', '29.76676', '2.97182', '5.902', '184.69906', '-0.05455', '0.07745', '0.95554']}\n
{snapshot: 09:53:26, data: ['61.85285', '29.14887', '29.76705', '2.93282', '5.89815', '184.70993', '-0.05307', '0.07721', '0.96065']}\n
{snapshot: 09:53:27, data: ['61.72477', '29.00522', '29.76658', '2.91914', '5.83692', '184.72685', '-0.05653', '0.07939', '0.95651']}\n
{snapshot: 09:53:28, data: ['61.74306', '29.19675', '29.76692', '2.9071', '5.90661', '184.77706', '-0.05356', '0.07769', '0.96138']}\n
{snapshot: 09:53:29, data: ['61.65158', '29.84794', '29.76713', '2.90379', '5.8527', '184.80731', '-0.05529', '0.07672', '0.95554']}\n
{snapshot: 09:53:30, data: ['61.79796', '29.15525', '29.76717', '2.9149', '5.81803', '184.87547', '-0.05208', '0.07697', '0.9609']}\n
{snapshot: 09:53:31, data: ['61.68818', '27.03889', '29.76679', '2.96323', '5.80977', '184.87802', '-0.05109', '0.07697', '0.95822']}\n
{snapshot: 09:53:31, data: ['61.85285', '28.95415', '29.76727', '2.91925', '5.74042', '184.93145', '-0.05529', '0.07697', '0.95505']}\n
{snapshot: 09:53:32, data: ['61.79796', '29.12333', '29.76722', '2.91366', '5.69739', '184.99702', '-0.05159', '0.07672', '0.957']}\n
{snapshot: 09:53:33, data: ['61.79796', '29.04034', '29.76686', '2.90824', '5.65711', '185.00591', '-0.05677', '0.07769', '0.95212']}\n
{snapshot: 09:53:34, data: ['61.77966', '29.16483', '29.76673', '2.97431', '5.56748', '185.01462', '-0.05184', '0.07745', '0.95943']}\n
{snapshot: 09:53:35, data: ['61.76136', '29.31486', '29.76698', '3.01829', '5.52273', '185.03279', '-0.05332', '0.07769', '0.95992']}\n
{snapshot: 09:53:35, data: ['61.88945', '29.23186', '29.76635', '3.03195', '5.51965', '185.01751', '-0.05258', '0.07721', '0.95578']}\n
{snapshot: 09:53:36, data: ['61.88945', '29.24463', '29.76686', '2.99806', '5.51643', '185.05168', '-0.05455', '0.07891', '0.96017']}\n
{snapshot: 09:53:37, data: ['61.76136', '31.88131', '29.76763', '3.02582', '5.48652', '185.01574', '-0.0548', '0.07697', '0.95578']}\n
{snapshot: 09:53:38, data: ['61.68818', '32.009', '29.76734', '3.07567', '5.5405', '185.04201', '-0.05356', '0.07721', '0.95407']}\n
{snapshot: 09:53:39, data: ['61.74306', '28.95096', '29.76689', '3.07576', '5.49522', '185.04574', '-0.05455', '0.07891', '0.95529']}\n
{snapshot: 09:53:39, data: ['61.76136', '29.03395', '29.76705', '3.06996', '5.48193', '185.00374', '-0.0543', '0.07794', '0.95456']}\n
{snapshot: 09:53:40, data: ['61.76136', '29.2191', '29.76702', '3.05447', '5.43382', '185.0346', '-0.05258', '0.07842', '0.95554']}\n
{snapshot: 09:53:41, data: ['61.72477', '29.15206', '29.7665', '3.06773', '5.45731', '185.0776', '-0.05208', '0.07575', '0.96017']}\n
{snapshot: 09:53:42, data: ['61.88945', '28.93819', '29.76655', '3.0313', '5.38931', '185.11701', '-0.05578', '0.07891', '0.96114']}\n
{snapshot: 09:53:43, data: ['61.76136', '29.29571', '29.76627', '3.06784', '5.2947', '185.12444', '-0.05406', '0.07745', '0.95846']}\n
{snapshot: 09:53:44, data: ['61.77966', '29.03715', '29.76654', '3.09627', '5.31445', '185.09126', '-0.05011', '0.07648', '0.95675']}\n
{snapshot: 09:53:44, data: ['61.83455', '28.98926', '29.76671', '3.0564', '5.28143', '185.12456', '-0.0548', '0.07842', '0.96017']}\n
{snapshot: 09:53:45, data: ['61.81626', '28.84243', '29.76667', '3.10481', '5.191', '185.12978', '-0.05381', '0.08036', '0.95554']}\n
{snapshot: 09:53:46, data: ['61.57839', '28.39553', '29.76721', '3.10837', '5.27094', '185.19072', '-0.05332', '0.07672', '0.95724']}\n
{snapshot: 09:53:47, data: ['61.79796', '28.53279', '29.76715', '3.09852', '5.24741', '185.21718', '-0.05307', '0.07745', '0.95992']}\n
{snapshot: 09:53:48, data: ['61.85285', '29.32763', '29.76708', '3.15373', '5.22926', '185.16438', '-0.05702', '0.07866', '0.95407']}\n
{snapshot: 09:53:48, data: ['61.70647', '26.21852', '29.76661', '3.10909', '5.27767', '185.13025', '-0.05677', '0.07891', '0.95188']}\n
{snapshot: 09:53:49, data: ['61.85285', '28.91585', '29.76581', '3.12456', '5.16796', '185.16632', '-0.05258', '0.07818', '0.9587']}\n
{snapshot: 09:53:50, data: ['61.90774', '29.0148', '29.76514', '3.15923', '5.16497', '185.14664', '-0.05134', '0.07794', '0.96065']}\n
{snapshot: 09:53:51, data: ['61.79796', '29.13291', '29.76635', '3.19022', '5.09903', '185.07626', '-0.0543', '0.07721', '0.95091']}\n
{snapshot: 09:53:52, data: ['61.83455', '28.83285', '29.76643', '3.15195', '5.02851', '185.10462', '-0.05208', '0.07745', '0.95651']}\n
{snapshot: 09:53:52, data: ['61.83455', '28.83604', '29.76612', '3.14495', '5.03796', '185.08969', '-0.05233', '0.07745', '0.95212']}\n
{snapshot: 09:53:53, data: ['61.76136', '29.14248', '29.76576', '3.15119', '4.96166', '185.02794', '-0.05208', '0.07842', '0.957']}\n
{snapshot: 09:53:54, data: ['61.74306', '28.80093', '29.76502', '3.14144', '5.04197', '185.03077', '-0.05356', '0.07575', '0.95383']}\n
{snapshot: 09:53:55, data: ['61.85285', '24.92252', '29.7653', '3.09977', '5.04543', '185.0536', '-0.05504', '0.07527', '0.9587']}\n
{snapshot: 09:53:56, data: ['61.90774', '28.7307', '29.76576', '3.10932', '5.03962', '185.0753', '-0.05554', '0.07745', '0.95554']}\n
{snapshot: 09:53:57, data: ['61.85285', '28.81689', '29.76513', '3.14943', '5.07936', '185.05084', '-0.05406', '0.07891', '0.95895']}\n
{snapshot: 09:53:57, data: ['61.90774', '28.852', '29.76499', '3.15179', '5.09931', '185.03748', '-0.05924', '0.07769', '0.95748']}\n
{snapshot: 09:53:58, data: ['61.90774', '27.83691', '29.76601', '3.19969', '5.11156', '185.04138', '-0.05233', '0.07769', '0.957']}\n
{snapshot: 09:53:59, data: ['61.79796', '28.61259', '29.76598', '3.20405', '5.146', '185.05517', '-0.05282', '0.07818', '0.96041']}\n
{snapshot: 09:54:00, data: ['61.87115', '29.04672', '29.7659', '3.13476', '5.08195', '184.98013', '-0.05677', '0.07672', '0.96065']}\n
{snapshot: 09:54:01, data: ['61.83455', '29.00522', '29.76576', '3.20721', '5.10141', '184.97806', '-0.05504', '0.07745', '0.95724']}\n
{snapshot: 09:54:01, data: ['61.90774', '28.8137', '29.76581', '3.25429', '5.04858', '185.00807', '-0.05307', '0.07794', '0.95822']}\n
{snapshot: 09:54:02, data: ['61.88945', '32.14626', '29.76503', '3.24631', '4.98358', '184.99299', '-0.05702', '0.07866', '0.9548']}\n
{snapshot: 09:54:03, data: ['61.79796', '28.69878', '29.76519', '3.22238', '4.90697', '185.05428', '-0.05406', '0.07478', '0.95139']}\n
{snapshot: 09:54:04, data: ['61.79796', '29.24463', '29.76501', '3.2292', '4.79311', '185.07973', '-0.05406', '0.07721', '0.95602']}\n
{snapshot: 09:54:05, data: ['61.77966', '28.74666', '29.76455', '3.19634', '4.74468', '185.12697', '-0.05603', '0.07818', '0.95748']}\n
{snapshot: 09:54:06, data: ['61.92604', '30.41294', '29.76525', '3.23309', '4.70171', '185.12739', '-0.05307', '0.07648', '0.95943']}\n
{snapshot: 09:54:06, data: ['61.85285', '28.84562', '29.76549', '3.21495', '4.65485', '185.14412', '-0.05406', '0.07551', '0.9531']}\n
{snapshot: 09:54:07, data: ['61.88945', '29.26698', '29.76498', '3.18006', '4.61708', '185.14657', '-0.05751', '0.07745', '0.957']}\n
{snapshot: 09:54:08, data: ['61.92604', '29.04034', '29.765', '3.1988', '4.67528', '185.14045', '-0.05603', '0.07769', '0.95139']}\n
{snapshot: 09:54:09, data: ['61.94434', '28.81689', '29.76515', '3.20475', '4.6314', '185.12239', '-0.0543', '0.07794', '0.95285']}\n
{snapshot: 09:54:10, data: ['61.92604', '27.77946', '29.76532', '3.17833', '4.6219', '185.11825', '-0.05381', '0.07964', '0.95992']}\n
{snapshot: 09:54:10, data: ['61.81626', '28.75305', '29.76522', '3.17525', '4.62354', '185.08278', '-0.05603', '0.07915', '0.95846']}\n
{snapshot: 09:54:11, data: ['61.77966', '28.62536', '29.76507', '3.19628', '4.60716', '185.04412', '-0.05307', '0.07721', '0.95554']}\n
{snapshot: 09:54:12, data: ['61.87115', '28.93181', '29.76427', '3.24079', '4.62627', '185.00152', '-0.05381', '0.07769', '0.95432']}\n
{snapshot: 09:54:13, data: ['61.85285', '28.62536', '29.76481', '3.2941', '4.65406', '184.90346', '-0.05085', '0.07721', '0.95334']}\n
{snapshot: 09:54:14, data: ['61.79796', '28.82647', '29.76552', '3.23466', '4.63518', '184.82136', '-0.05307', '0.07672', '0.95822']}\n
{snapshot: 09:54:14, data: ['61.96264', '28.98926', '29.76628', '3.26996', '4.73218', '184.82182', '-0.05455', '0.07818', '0.95456']}\n
{snapshot: 09:54:15, data: ['61.87115', '28.75305', '29.76625', '3.22087', '4.82156', '184.84279', '-0.05233', '0.07599', '0.96017']}\n
{snapshot: 09:54:16, data: ['61.94434', '28.71155', '29.7656', '3.23603', '4.84817', '184.88633', '-0.0506', '0.07721', '0.95919']}\n
{snapshot: 09:54:17, data: ['61.90774', '28.58387', '29.76556', '3.19733', '4.89272', '184.85801', '-0.05258', '0.07672', '0.95578']}\n
{snapshot: 09:54:18, data: ['61.85285', '28.67963', '29.76532', '3.16291', '4.86946', '184.87612', '-0.05208', '0.07697', '0.95797']}\n
{snapshot: 09:54:19, data: ['61.92604', '26.04295', '29.76507', '3.15684', '4.83483', '184.85869', '-0.05233', '0.07842', '0.9531']}\n
{snapshot: 09:54:19, data: ['61.76136', '28.58706', '29.76484', '3.20332', '4.85528', '184.77408', '-0.05134', '0.07818', '0.95822']}\n
{snapshot: 09:54:20, data: ['61.90774', '28.59344', '29.76488', '3.21121', '4.84378', '184.71579', '-0.05356', '0.07721', '0.96187']}\n
{snapshot: 09:54:21, data: ['61.85285', '28.56791', '29.76527', '3.21432', '4.82733', '184.72395', '-0.05628', '0.08061', '0.95943']}\n
{snapshot: 09:54:22, data: ['61.92604', '28.69878', '29.76527', '3.25911', '4.7538', '184.68127', '-0.05381', '0.07648', '0.95651']}\n
{snapshot: 09:54:23, data: ['61.79796', '28.84243', '29.76525', '3.26514', '4.75999', '184.72814', '-0.05356', '0.07818', '0.9587']}\n
{snapshot: 09:54:23, data: ['61.87115', '28.43384', '29.76547', '3.27739', '4.76845', '184.72985', '-0.05307', '0.07794', '0.95748']}\n
{snapshot: 09:54:24, data: ['61.79796', '28.60621', '29.76563', '3.24779', '4.74977', '184.77023', '-0.0543', '0.07891', '0.96017']}\n
{snapshot: 09:54:25, data: ['61.94434', '28.6094', '29.76502', '3.23809', '4.70843', '184.82569', '-0.05628', '0.07648', '0.95797']}\n
{snapshot: 09:54:26, data: ['61.83455', '28.67005', '29.7651', '3.14703', '4.73676', '184.87579', '-0.05504', '0.07721', '0.95627']}\n
{snapshot: 09:54:27, data: ['62.01753', '26.37174', '29.76483', '3.10379', '4.7731', '184.87477', '-0.05258', '0.07818', '0.95505']}\n
{snapshot: 09:54:28, data: ['61.81626', '26.79948', '29.76431', '3.08023', '4.80678', '184.85563', '-0.05504', '0.07697', '0.96065']}\n
{snapshot: 09:54:28, data: ['61.87115', '28.65729', '29.76445', '3.08774', '4.81283', '184.92964', '-0.05529', '0.07915', '0.9531']}\n
{snapshot: 09:54:29, data: ['61.83455', '28.53279', '29.76469', '3.12089', '4.84855', '184.94916', '-0.05282', '0.07794', '0.95651']}\n
{snapshot: 09:54:30, data: ['61.87115', '28.60621', '29.76509', '3.12446', '4.79667', '184.96243', '-0.05529', '0.07866', '0.95237']}\n
{snapshot: 09:54:31, data: ['61.83455', '29.54469', '29.76463', '3.14272', '4.82469', '185.02027', '-0.05455', '0.07842', '0.95456']}\n
{snapshot: 09:54:32, data: ['61.94434', '29.02438', '29.76534', '3.18473', '4.84304', '184.99654', '-0.05578', '0.07769', '0.95334']}\n
{snapshot: 09:54:33, data: ['61.88945', '28.72113', '29.76537', '3.18704', '4.86643', '185.05991', '-0.05628', '0.07697', '0.95432']}\n
{snapshot: 09:54:33, data: ['61.85285', '28.67005', '29.76535', '3.239', '4.8375', '185.10467', '-0.0548', '0.07478', '0.95895']}\n
{snapshot: 09:54:34, data: ['61.99923', '28.57748', '29.76533', '3.23794', '4.79917', '185.05084', '-0.05801', '0.07769', '0.95748']}\n
{snapshot: 09:54:35, data: ['61.90774', '28.51683', '29.76509', '3.28122', '4.768', '185.06151', '-0.05233', '0.07721', '0.95919']}\n
{snapshot: 09:54:36, data: ['61.83455', '28.44022', '29.76519', '3.25967', '4.77762', '185.07599', '-0.05504', '0.07721', '0.957']}\n
{snapshot: 09:54:37, data: ['61.83455', '28.59663', '29.7656', '3.27952', '4.79588', '185.07011', '-0.05208', '0.07599', '0.95895']}\n
{snapshot: 09:54:37, data: ['61.88945', '28.53279', '29.76501', '3.29448', '4.82606', '185.10578', '-0.05455', '0.07745', '0.96065']}\n
{snapshot: 09:54:38, data: ['61.96264', '26.41004', '29.76528', '3.23058', '4.77945', '185.07872', '-0.05381', '0.07939', '0.95383']}\n
{snapshot: 09:54:39, data: ['61.98093', '28.57748', '29.7649', '3.21386', '4.7706', '185.11656', '-0.05504', '0.07818', '0.95505']}\n
{snapshot: 09:54:40, data: ['62.01753', '28.83285', '29.76505', '3.20403', '4.76213', '185.07921', '-0.05282', '0.08012', '0.95651']}\n
{snapshot: 09:54:41, data: ['61.98093', '28.54556', '29.76494', '3.2194', '4.68345', '185.06823', '-0.05554', '0.07794', '0.95554']}\n
{snapshot: 09:54:41, data: ['61.96264', '28.28381', '29.76505', '3.23068', '4.63221', '185.04296', '-0.05282', '0.07575', '0.96041']}\n
{snapshot: 09:54:42, data: ['62.05412', '26.00784', '29.76479', '3.25109', '4.5982', '185.00215', '-0.05504', '0.07915', '0.9587']}\n
{snapshot: 09:54:43, data: ['61.96264', '28.2455', '29.76503', '3.21191', '4.61704', '184.94362', '-0.05406', '0.07842', '0.95773']}\n
{snapshot: 09:54:44, data: ['61.98093', '28.6509', '29.7643', '3.21522', '4.59241', '184.99534', '-0.05233', '0.07794', '0.95992']}\n
{snapshot: 09:54:45, data: ['61.83455', '28.61579', '29.76518', '3.18441', '4.62087', '185.00591', '-0.05406', '0.07478', '0.9587']}\n
{snapshot: 09:54:46, data: ['61.98093', '28.44341', '29.7654', '3.18232', '4.6189', '185.02208', '-0.05727', '0.07745', '0.95602']}\n
{snapshot: 09:54:46, data: ['61.76136', '31.05136', '29.7655', '3.23768', '4.74216', '184.99979', '-0.05356', '0.07599', '0.95895']}\n
{snapshot: 09:54:47, data: ['61.90774', '28.69559', '29.76578', '3.32099', '4.72148', '185.04824', '-0.05455', '0.07891', '0.96358']}\n
{snapshot: 09:54:48, data: ['61.88945', '28.52641', '29.76591', '3.40322', '4.70011', '185.09228', '-0.05702', '0.07988', '0.957']}\n
{snapshot: 09:54:49, data: ['61.92604', '28.72751', '29.76565', '3.35493', '4.69265', '185.11496', '-0.05356', '0.07988', '0.95895']}\n
{snapshot: 09:54:50, data: ['61.88945', '28.31892', '29.76527', '3.30814', '4.69872', '185.0889', '-0.05455', '0.07794', '0.95846']}\n
{snapshot: 09:54:50, data: ['61.92604', '28.70197', '29.7654', '3.27795', '4.74244', '185.08761', '-0.05307', '0.07745', '0.95651']}\n
{snapshot: 09:54:51, data: ['61.83455', '28.61579', '29.76563', '3.26187', '4.7878', '185.10761', '-0.05282', '0.07745', '0.95651']}\n
{snapshot: 09:54:52, data: ['61.85285', '28.48491', '29.76607', '3.2535', '4.77764', '185.12189', '-0.05529', '0.07527', '0.95773']}\n
{snapshot: 09:54:53, data: ['61.94434', '28.4083', '29.76586', '3.31359', '4.87331', '185.11902', '-0.05109', '0.07769', '0.96187']}\n
{snapshot: 09:54:54, data: ['61.92604', '28.51364', '29.76622', '3.31727', '4.82062', '185.05679', '-0.05258', '0.07648', '0.95846']}\n
{snapshot: 09:54:54, data: ['61.92604', '30.36825', '29.76585', '3.32033', '4.76491', '185.04354', '-0.0548', '0.07745', '0.9587']}\n
{snapshot: 09:54:55, data: ['61.98093', '29.62449', '29.76617', '3.32082', '4.7187', '185.05709', '-0.05233', '0.07697', '0.96138']}\n
{snapshot: 09:54:56, data: ['61.90774', '28.68282', '29.76578', '3.23323', '4.62208', '185.10428', '-0.04887', '0.07964', '0.96138']}\n
{snapshot: 09:54:57, data: ['61.92604', '28.48172', '29.76532', '3.18833', '4.5891', '185.12003', '-0.0506', '0.07915', '0.95554']}\n
