{snapshot: 20:35:19, data: ['66.4089', '26.08125', '29.83882', '359.0483', '359.90514', '162.28561', '0.01067', '-0.0386', '0.95943']}\n
{snapshot: 20:35:19, data: ['66.4089', '15.86013', '29.83835', '359.10001', '359.92983', '162.29241', '0.01188', '-0.0398', '0.96065']}\n
{snapshot: 20:35:20, data: ['66.50039', '27.16976', '29.83869', '359.12405', '359.84897', '162.32972', '0.01067', '-0.03884', '0.9587']}\n
{snapshot: 20:35:21, data: ['66.4272', '24.28729', '29.83891', '359.1631', '359.8148', '162.38366', '0.01188', '-0.0386', '0.95846']}\n
{snapshot: 20:35:22, data: ['66.48209', '24.52351', '29.83892', '359.18887', '359.789', '162.41459', '0.01139', '-0.0398', '0.95773']}\n
{snapshot: 20:35:22, data: ['66.4089', '26.17063', '29.83839', '359.15917', '359.79034', '162.44683', '0.01188', '-0.0386', '0.95943']}\n
{snapshot: 20:35:23, data: ['66.48209', '25.7812', '29.83931', '359.12111', '359.81082', '162.3757', '0.01067', '-0.03884', '0.95992']}\n
{snapshot: 20:35:24, data: ['66.3723', '25.98868', '29.83959', '359.125', '359.81364', '162.31936', '0.01212', '-0.0386', '0.96017']}\n
{snapshot: 20:35:25, data: ['66.354', '27.3996', '29.83964', '359.10934', '359.81955', '162.28919', '0.01164', '-0.03835', '0.96212']}\n
{snapshot: 20:35:26, data: ['66.4272', '26.00145', '29.83972', '359.04298', '359.85403', '162.24867', '0.01188', '-0.0386', '0.95992']}\n
{snapshot: 20:35:26, data: ['66.48209', '25.84504', '29.84022', '359.02808', '359.80509', '162.21884', '0.01164', '-0.03908', '0.95968']}\n
{snapshot: 20:35:27, data: ['66.3906', '26.44515', '29.83975', '359.08123', '359.85112', '162.23205', '0.01115', '-0.03763', '0.95675']}\n
{snapshot: 20:35:28, data: ['66.3906', '25.41091', '29.83957', '359.04291', '359.83744', '162.22992', '0.01067', '-0.03811', '0.96065']}\n
{snapshot: 20:35:28, data: ['66.3906', '26.03337', '29.83987', '359.04347', '359.85418', '162.26597', '0.01115', '-0.03835', '0.95968']}\n
{snapshot: 20:35:29, data: ['66.28082', '26.12594', '29.83932', '359.0362', '359.81813', '162.26972', '0.01139', '-0.03835', '0.96114']}\n
{snapshot: 20:35:30, data: ['66.55527', '26.11956', '29.83979', '359.05755', '359.77232', '162.30073', '0.01091', '-0.03908', '0.95968']}\n
{snapshot: 20:35:31, data: ['66.3723', '26.30151', '29.83939', '359.10504', '359.7477', '162.29234', '0.01043', '-0.0386', '0.9609']}\n
{snapshot: 20:35:31, data: ['66.3723', '26.19298', '29.83921', '359.08615', '359.74696', '162.27161', '0.01212', '-0.03956', '0.96065']}\n
{snapshot: 20:35:32, data: ['66.44549', '26.16425', '29.83867', '359.09293', '359.7433', '162.28441', '0.01139', '-0.03884', '0.96017']}\n
{snapshot: 20:35:33, data: ['66.48209', '26.06849', '29.83853', '359.13689', '359.77752', '162.25068', '0.01164', '-0.0386', '0.95992']}\n
{snapshot: 20:35:34, data: ['66.44549', '26.29513', '29.83889', '359.12693', '359.82626', '162.2442', '0.01139', '-0.03908', '0.96138']}\n
{snapshot: 20:35:34, data: ['66.55527', '25.82589', '29.83862', '359.07378', '359.89144', '162.25203', '0.00994', '-0.03932', '0.96017']}\n
{snapshot: 20:35:35, data: ['66.29911', '22.59547', '29.83869', '359.06133', '359.9314', '162.27853', '0.01164', '-0.03811', '0.95919']}\n
{snapshot: 20:35:36, data: ['66.46379', '25.19385', '29.83958', '359.0778', '359.93765', '162.25907', '0.01139', '-0.03884', '0.96041']}\n
{snapshot: 20:35:37, data: ['66.48209', '26.00145', '29.83944', '359.05978', '359.91137', '162.2914', '0.01212', '-0.0398', '0.95968']}\n
{snapshot: 20:35:37, data: ['66.4089', '25.90888', '29.8389', '359.07822', '359.89326', '162.33821', '0.01164', '-0.03956', '0.95919']}\n
{snapshot: 20:35:38, data: ['66.4089', '25.97911', '29.83884', '359.09616', '359.90644', '162.29479', '0.01285', '-0.03835', '0.96114']}\n
{snapshot: 20:35:39, data: ['66.354', '26.08764', '29.83927', '359.06975', '359.88346', '162.34918', '0.01188', '-0.0386', '0.95895']}\n
{snapshot: 20:35:40, data: ['66.48209', '26.03657', '29.83941', '359.07918', '359.91354', '162.32566', '0.01091', '-0.03835', '0.95919']}\n
{snapshot: 20:35:41, data: ['66.3906', '26.51857', '29.83936', '359.11076', '359.93551', '162.33688', '0.01067', '-0.03956', '0.96017']}\n
{snapshot: 20:35:41, data: ['66.51868', '27.21764', '29.83971', '359.14011', '359.93598', '162.29539', '0.01164', '-0.04053', '0.96017']}\n
{snapshot: 20:35:42, data: ['66.3723', '25.76843', '29.8399', '359.11296', '359.93098', '162.302', '0.01139', '-0.0386', '0.95773']}\n
{snapshot: 20:35:43, data: ['66.4089', '26.3462', '29.84028', '359.09176', '359.90095', '162.30604', '0.01139', '-0.0386', '0.96041']}\n
{snapshot: 20:35:44, data: ['66.50039', '25.76843', '29.84085', '359.12181', '359.91367', '162.33185', '0.01043', '-0.03884', '0.95943']}\n
{snapshot: 20:35:45, data: ['66.46379', '26.29193', '29.84021', '359.09304', '359.92506', '162.32454', '0.0143', '-0.03908', '0.95943']}\n
{snapshot: 20:35:45, data: ['66.48209', '27.97737', '29.84078', '359.08697', '359.8604', '162.35842', '0.01236', '-0.03956', '0.95846']}\n
{snapshot: 20:35:46, data: ['66.4272', '25.95038', '29.8405', '359.12965', '359.86482', '162.38323', '0.01091', '-0.0386', '0.96017']}\n
{snapshot: 20:35:47, data: ['66.4089', '25.89931', '29.83943', '359.13359', '359.8191', '162.43176', '0.01164', '-0.03932', '0.95943']}\n
{snapshot: 20:35:48, data: ['66.4272', '25.97911', '29.83949', '359.19791', '359.80134', '162.47157', '0.01091', '-0.03884', '0.95968']}\n
{snapshot: 20:35:48, data: ['66.354', '25.94719', '29.8399', '359.18749', '359.7996', '162.45247', '0.01309', '-0.04053', '0.96065']}\n
{snapshot: 20:35:49, data: ['66.33571', '25.72693', '29.83957', '359.20031', '359.78118', '162.42074', '0.00776', '-0.03884', '0.96114']}\n
{snapshot: 20:35:50, data: ['66.4272', '26.04614', '29.83844', '359.17315', '359.713', '162.38747', '0.01164', '-0.03811', '0.95895']}\n
{snapshot: 20:35:51, data: ['66.50039', '26.47069', '29.83944', '359.20856', '359.69067', '162.45332', '0.01067', '-0.03739', '0.95919']}\n
{snapshot: 20:35:52, data: ['66.51868', '26.30151', '29.84018', '359.17897', '359.71572', '162.4677', '0.01067', '-0.0398', '0.95748']}\n
{snapshot: 20:35:52, data: ['66.44549', '25.86419', '29.83932', '359.1801', '359.74069', '162.4559', '0.01067', '-0.03932', '0.95797']}\n
{snapshot: 20:35:53, data: ['66.4272', '25.97592', '29.83928', '359.19522', '359.7071', '162.47587', '0.01043', '-0.03908', '0.95822']}\n
{snapshot: 20:35:54, data: ['66.31741', '25.88015', '29.83953', '359.22526', '359.6722', '162.48248', '0.00994', '-0.03835', '0.95748']}\n
{snapshot: 20:35:55, data: ['66.48209', '26.32066', '29.8391', '359.23696', '359.73031', '162.48009', '0.01091', '-0.03932', '0.9609']}\n
{snapshot: 20:35:56, data: ['66.48209', '26.43239', '29.83912', '359.21455', '359.77844', '162.49718', '0.01261', '-0.03932', '0.95773']}\n
{snapshot: 20:35:56, data: ['66.3723', '25.81312', '29.83904', '359.19142', '359.78165', '162.48233', '0.01091', '-0.0386', '0.95992']}\n
{snapshot: 20:35:57, data: ['66.4089', '25.15554', '29.83881', '359.17572', '359.80277', '162.43959', '0.01139', '-0.03956', '0.9587']}\n
{snapshot: 20:35:58, data: ['66.29911', '34.20197', '29.83872', '359.20174', '359.7666', '162.40581', '0.01115', '-0.04028', '0.95846']}\n
{snapshot: 20:35:58, data: ['66.31741', '26.01103', '29.83894', '359.21798', '359.7154', '162.40592', '0.01067', '-0.03908', '0.95773']}\n
{snapshot: 20:35:59, data: ['66.354', '26.5058', '29.83928', '359.16752', '359.7629', '162.46766', '0.01139', '-0.03811', '0.95627']}\n
{snapshot: 20:36:00, data: ['66.3906', '26.40366', '29.83931', '359.205', '359.75225', '162.51557', '0.01212', '-0.03908', '0.9587']}\n
{snapshot: 20:36:01, data: ['66.3906', '26.07806', '29.83902', '359.15339', '359.72835', '162.52748', '0.01018', '-0.03932', '0.95846']}\n
{snapshot: 20:36:02, data: ['66.33571', '27.34214', '29.83911', '359.15728', '359.72244', '162.4765', '0.01261', '-0.03787', '0.95992']}\n
{snapshot: 20:36:02, data: ['66.3723', '25.26727', '29.83958', '359.19128', '359.76184', '162.41947', '0.01091', '-0.0386', '0.95968']}\n
{snapshot: 20:36:03, data: ['66.3906', '26.53773', '29.83949', '359.23714', '359.77742', '162.40965', '0.01043', '-0.03908', '0.95943']}\n
{snapshot: 20:36:04, data: ['66.3906', '29.1776', '29.83894', '359.26427', '359.71353', '162.43128', '0.00994', '-0.03835', '0.96017']}\n
{snapshot: 20:36:04, data: ['66.48209', '25.75566', '29.83851', '359.27979', '359.71704', '162.37306', '0.01043', '-0.03884', '0.9587']}\n
{snapshot: 20:36:05, data: ['66.354', '25.12362', '29.8391', '359.29971', '359.75963', '162.32857', '0.01212', '-0.03884', '0.95822']}\n
